blueTeamFirstBlood,blueWin,DamageDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
1,1,4034,0,0,-2,0,17,4,-2,-27,-18
1,1,4747,2,0,1,0,3,2,-1,21,20
0,1,824,-2,1,0,0,-10,1,0,-3,-32
0,0,-4532,2,-1,-1,0,3,0,5,-31,8
0,0,-2858,1,0,-1,0,15,3,3,-36,21
0,0,-4316,1,0,0,0,5,-1,-4,-52,0
0,0,-4617,-2,0,-3,0,-4,-4,5,-36,-21
0,1,5942,-1,0,0,0,16,-2,-1,37,-12
1,0,3302,1,0,-1,0,-12,-4,4,1,15
0,0,-9931,-2,0,-3,0,-3,0,9,-47,-8
1,0,727,-2,-1,0,0,-54,-5,0,-11,-9
1,0,4157,-2,0,0,0,2,0,-2,-58,-42
1,1,-865,1,0,-2,0,8,4,3,-19,30
0,0,1090,1,0,-1,0,-14,-1,1,-5,1
0,0,-3950,0,0,-4,0,1,0,5,-38,-12
0,0,-7898,-2,0,0,0,4,-3,2,-7,-21
1,1,-4468,1,0,1,0,4,5,-8,14,0
1,0,505,1,0,-1,0,15,0,8,-13,-6
1,0,-8548,-1,0,0,0,4,2,7,-58,16
1,1,9386,1,0,2,0,15,-3,-13,58,11
1,0,-4283,0,0,-1,0,-6,1,3,2,-7
1,1,2332,-1,0,0,0,0,2,2,-4,30
0,1,-6274,-2,1,0,0,7,-1,4,-31,1
0,1,6673,2,0,-2,0,95,3,4,24,-19
0,0,-8534,-2,0,-4,0,7,0,7,-98,0
1,1,22662,0,0,3,0,-14,1,-8,44,41
0,0,-2528,-2,0,-2,0,-45,2,2,-84,-10
1,0,-10154,-1,0,-1,0,-23,1,-3,24,2
1,0,9167,2,1,-1,0,9,2,5,7,-8
1,0,-6561,-1,0,-1,0,-5,2,6,24,-4
1,1,-10214,0,0,-2,0,2,1,4,-11,3
1,1,3385,-2,0,2,0,-1,1,-2,70,11
0,1,-1209,-1,1,1,0,-22,1,-7,67,-24
1,1,11788,-2,0,1,0,6,3,4,116,-42
0,1,8105,-1,1,-3,0,-4,0,-1,18,-5
0,1,-818,1,0,-1,0,11,3,0,-59,23
0,0,-9706,-2,-1,-2,0,12,-2,4,-72,-23
0,1,-1294,-2,0,1,0,-9,0,1,4,9
1,0,-4866,-2,0,0,0,1,-1,-4,-4,8
1,0,8434,0,0,1,0,272,2,-1,-6,25
1,0,5484,0,1,1,0,103,1,-8,-19,-44
0,1,6825,0,0,1,0,14,2,-2,57,28
0,1,2793,0,0,-2,0,-7,-1,0,11,-1
0,0,-9095,0,0,-1,0,113,1,9,-38,-1
0,0,2853,-2,1,1,0,1,3,0,58,-7
1,1,5816,1,0,2,0,-4,-3,-2,40,19
0,1,-7293,0,0,0,0,23,1,-4,-15,17
0,1,7354,-1,0,0,0,15,-3,0,11,7
1,1,1942,0,0,0,0,-1,1,-4,29,1
0,0,-12484,-2,0,-2,0,-2,-4,7,-76,-25
1,0,337,-2,0,1,0,-25,-3,4,40,4
0,0,1536,-2,0,-1,0,-15,0,4,-35,14
1,0,-3232,0,0,-1,0,2,0,5,5,-25
0,1,1392,-2,-1,-1,0,-74,-3,0,-33,14
1,1,-2487,0,0,-1,0,-21,-1,2,-34,6
1,0,2331,1,0,1,0,6,-2,1,-2,16
1,1,1336,-2,0,0,0,-1,1,0,-31,-27
1,0,-11948,-2,0,-1,0,2,-4,4,-23,-44
0,0,1357,-2,0,2,0,31,0,-8,51,-6
0,1,-6565,0,0,0,0,-2,0,4,7,7
0,0,-14118,-2,0,-2,0,-4,2,4,-49,-20
0,1,2907,2,0,-1,0,10,0,8,-8,19
1,1,1352,2,0,-1,0,0,1,4,-42,-4
0,1,19259,0,0,0,0,1,0,-4,39,8
1,1,8374,-2,0,1,0,-102,3,-11,43,8
0,1,3127,0,0,-1,0,-36,4,-7,27,24
1,0,-4409,-2,-1,0,0,-1,-2,6,19,12
1,1,-9514,-1,0,-2,0,-18,-1,0,-6,4
1,1,17384,-1,0,-3,0,7,0,-4,67,16
1,1,14496,2,1,-1,0,-9,2,-4,-15,-12
1,1,-385,-2,-1,-1,0,18,2,1,0,-9
0,1,-1057,-1,0,-1,0,1,4,0,-30,12
1,0,290,-2,0,-2,0,-70,-7,1,-10,-15
0,0,-14412,-2,0,-1,0,-181,-2,6,-57,10
1,1,4756,-2,0,-1,0,9,-1,-3,54,-12
1,1,4775,-1,0,-1,0,-14,-2,4,13,4
1,0,-7379,0,0,-1,0,-1,0,-2,-5,-15
1,1,4388,2,-1,0,0,18,1,-2,-65,-4
1,0,-4500,-2,0,-1,0,1,1,6,-15,-1
0,0,-2001,-2,0,-1,0,63,2,6,54,-25
1,1,2856,1,-1,0,0,-118,-6,1,-60,8
1,1,10848,1,0,1,0,26,0,-1,-22,6
0,1,7594,0,1,0,0,-8,1,-1,25,42
0,0,-4100,1,0,-1,0,0,4,3,-14,-24
0,0,-18063,-1,0,-1,0,25,-2,7,-24,-9
0,0,-3494,-1,-1,-1,0,-19,-4,0,-21,28
1,0,7819,-1,0,0,0,58,2,-1,-44,-6
1,1,3844,-1,0,-2,0,-43,0,3,-67,4
1,0,5193,0,0,-1,0,29,8,1,30,8
1,1,10952,0,1,1,0,2,-1,1,32,22
0,0,592,0,-1,-1,0,-9,-5,9,-44,-4
1,1,-2612,2,0,-1,0,-4,3,4,-17,-19
0,0,-1127,1,0,-3,0,6,2,4,-23,8
0,0,-889,2,0,-1,0,-14,-5,4,27,8
0,0,10751,-2,-1,-1,0,-4,0,5,27,11
1,1,4641,0,0,0,0,13,1,2,28,-41
0,1,7247,0,0,1,0,132,-3,0,64,14
0,1,-7386,-1,0,-2,0,-8,2,3,-14,-21
1,1,8757,2,0,1,0,-6,-1,3,47,20
0,1,127,0,-1,0,0,-2,4,-6,7,12
0,0,-4296,0,0,0,0,-10,-4,1,-20,-10
1,0,-6746,-1,-1,-1,0,0,-1,5,-66,12
0,0,-17570,-2,0,-3,0,54,1,6,-65,0
0,0,11047,0,0,-1,0,7,8,1,30,28
0,0,-9144,-1,-1,-1,0,-5,-2,7,-45,19
1,1,9528,2,0,-1,0,0,0,-10,82,14
0,1,-7099,0,0,-1,0,-6,-4,1,-37,-25
1,1,2525,2,0,2,0,-5,1,-8,50,-24
0,1,2311,-2,0,-1,0,-13,-7,1,-35,-8
1,1,11526,1,0,-1,0,17,2,1,21,-1
0,1,1898,-1,0,1,0,-3,-2,4,20,-19
1,1,10543,2,0,2,0,227,-1,-14,84,7
0,0,-12127,1,0,0,0,1,-1,6,-60,-17
0,0,-6224,-1,-1,-2,0,5,3,7,-109,-9
0,0,1022,0,0,0,0,24,4,-5,21,12
1,1,5560,1,0,0,0,-95,3,0,42,21
1,0,-3977,-1,-1,0,0,13,2,4,-16,20
0,0,-14003,-1,0,-3,0,2,-4,9,-108,-65
1,0,-10053,-2,0,-2,0,88,-3,-1,-16,-19
0,0,-10118,-1,1,-2,0,-5,0,8,-38,1
1,0,-2375,1,0,2,0,12,3,-6,-8,15
1,0,-1380,1,0,0,0,-48,6,1,-10,12
1,0,137,1,-1,-2,0,12,-1,4,-37,11
1,1,4390,2,0,2,0,-8,-5,-8,-6,28
0,0,-9640,-2,0,-2,0,-3,0,3,-50,4
1,0,-106,-1,0,-1,0,-4,3,3,-41,-8
1,1,6758,2,0,0,0,-7,4,6,-9,6
0,1,-8769,0,0,-3,0,-16,-1,10,-17,-10
0,0,-9088,1,0,-2,0,-1,1,0,3,-70
0,0,-90,-2,0,-1,0,-4,1,-1,-22,16
0,0,-15863,-1,0,-2,0,-4,0,6,-43,-27
1,1,-5511,0,0,-1,0,-5,0,0,8,-28
0,0,500,1,0,-2,0,-1,0,0,-57,7
0,0,-8889,-2,0,-2,0,9,4,4,-11,-30
0,0,-14370,-1,0,-2,0,-2,-1,6,-67,-28
0,0,535,-1,1,0,0,-7,0,6,-32,-8
0,1,-3906,-2,1,-2,0,10,-2,6,-68,14
1,1,11682,2,0,-1,0,-69,-1,4,12,19
1,0,5326,1,0,2,0,-192,3,0,42,-8
1,1,9693,0,0,1,0,3,3,-8,104,31
1,0,-3113,-1,0,0,0,8,1,5,-48,-9
1,0,-5753,-1,0,-3,0,5,0,9,-35,-38
1,1,550,-1,0,0,0,1,6,1,3,12
1,1,2739,2,1,2,0,-121,3,-7,70,11
0,0,-11007,-1,-1,-2,0,-1,-1,7,-62,5
0,0,-3982,0,0,-2,0,-5,-1,5,-90,-30
0,0,-5365,0,-1,-1,0,5,5,4,-31,-40
0,0,-11367,-2,-1,0,0,-15,-5,3,36,-11
1,1,-712,1,0,1,0,-9,5,-7,12,17
0,0,-3459,0,-1,-2,0,-2,2,-1,0,4
1,1,11311,-1,0,-1,0,8,3,3,-33,-8
1,1,5382,0,0,3,0,61,7,0,15,39
1,0,-4161,-2,1,-1,0,-8,0,-2,-22,-17
1,0,-1160,-2,0,0,0,8,0,-7,-41,38
1,1,12577,1,0,1,0,15,0,2,43,-4
1,1,6910,-1,1,-2,0,-3,1,2,15,8
1,0,-1200,2,0,0,0,-5,-3,-1,-21,-3
1,0,-12788,-2,0,-1,0,-8,-2,6,-13,-4
1,1,1577,2,0,1,0,7,1,0,-14,4
1,1,15626,0,0,2,0,-8,0,-10,54,3
1,0,2493,2,0,-1,0,-12,-1,0,4,29
0,1,-3534,-1,0,0,0,-10,-1,5,4,-47
0,0,-3775,0,-1,-1,0,-5,3,4,-21,9
1,1,653,-2,0,0,0,8,3,1,11,-23
0,0,-23238,-2,0,-1,0,-3,-2,7,-55,1
1,0,-5377,0,0,0,0,-24,1,4,-59,31
0,0,5819,2,0,1,0,-433,2,0,-4,6
1,1,8784,2,0,2,0,227,7,-5,51,2
0,1,780,1,-1,-1,0,-291,-3,2,-49,-2
0,1,-4491,2,0,-1,0,216,1,2,-1,-16
1,1,-3378,1,0,1,0,299,2,-8,-7,13
0,1,807,2,0,-3,0,247,-4,7,19,-6
1,1,-11668,-1,0,-3,0,166,2,7,-52,7
1,1,1080,0,0,0,0,173,1,-4,16,21
0,1,-3929,2,0,-1,0,284,5,-1,4,-18
1,0,-10977,-1,0,-3,0,134,-3,4,-110,-13
1,1,12812,1,0,1,0,0,-2,-4,118,44
1,0,-8594,-2,0,-1,0,240,5,-1,-47,21
1,1,11942,2,0,0,0,196,2,1,24,25
0,0,-3950,-2,1,-2,0,231,-1,8,-54,1
0,0,-7056,-2,-1,-1,0,-228,0,4,-53,-13
1,1,1470,1,1,1,0,216,6,-8,61,32
0,0,-5554,-2,1,1,0,236,-1,-1,32,20
1,1,3190,-2,0,2,0,-229,4,-2,-14,-7
1,0,-2026,0,1,-2,0,392,3,-3,26,12
0,1,4811,1,0,1,0,3,2,-2,32,15
0,1,7774,0,0,-2,0,-2,-1,-12,-1,-4
1,1,9615,1,0,4,0,31,0,-9,101,-23
1,1,10498,0,0,-2,0,9,0,-2,-31,6
1,1,11118,2,1,2,0,3,1,-7,78,26
0,0,955,0,0,1,0,-7,0,2,-20,6
1,1,15385,0,0,0,0,-31,4,-3,100,42
1,0,3068,-2,0,1,0,-2,2,-4,31,0
1,1,10074,1,0,1,0,-11,0,-5,64,-11
1,1,2309,0,0,-1,0,2,5,-1,39,2
0,0,-5764,0,1,-2,0,0,1,4,-13,4
0,1,12311,2,0,0,0,-27,3,-5,92,32
0,0,1932,0,0,-1,0,6,3,2,-21,-28
1,1,4387,2,1,2,0,3,4,-6,33,0
1,0,-14003,0,-1,-3,0,11,1,7,-36,-15
1,1,7529,2,1,3,0,-10,-5,-7,23,-19
0,0,-9413,-2,0,-2,0,-13,-1,6,-88,-12
0,0,-6298,-1,0,-1,0,0,-1,-7,9,0
1,1,9696,-1,0,2,0,13,1,-8,25,-25
1,1,8571,1,0,4,0,-2,-2,-3,20,-8
0,0,1443,-2,0,-1,0,1,-3,8,31,13
0,1,6318,2,1,1,0,7,2,-1,15,16
0,0,-10029,0,0,-2,0,11,0,6,-51,-2
0,1,4243,0,0,0,0,2,0,2,59,-25
0,1,8,-1,-1,1,0,1,0,-9,-24,24
1,0,-8982,0,1,-1,0,-8,-1,0,8,-8
0,0,-5910,-2,0,-1,0,-10,-5,3,-10,-8
1,1,6470,0,0,2,0,-25,2,-10,15,-1
0,0,-9939,-1,-1,-5,0,161,-6,10,-71,-25
1,1,10612,0,1,1,0,-35,2,0,31,35
0,1,4072,0,1,1,0,2,2,-4,48,20
0,1,4093,2,0,2,0,18,4,-6,77,16
1,1,-11348,-2,1,0,0,-9,-2,3,33,-35
1,0,14755,0,0,2,0,-4,-1,-4,36,-12
1,1,2560,-2,1,2,0,-145,-3,-9,-2,12
1,1,453,0,-1,0,0,-1,0,-4,2,10
0,0,-6375,-2,0,-2,0,-1,-3,6,-108,-25
1,0,7962,1,0,0,0,11,-4,-2,-22,32
1,0,4294,-1,0,0,0,-12,-2,3,7,-12
0,1,-8951,-2,0,-2,0,-2,-3,4,-46,-14
0,0,4427,0,-1,0,0,4,-1,2,35,-26
0,1,5886,1,0,0,0,-11,1,-1,11,11
1,1,5689,2,0,-1,0,1,2,0,-44,-28
0,1,-5824,0,1,0,0,-31,-1,-6,42,39
0,1,12439,1,0,2,0,1,2,-1,61,10
0,1,-2401,0,0,0,0,-39,-1,4,17,-16
1,1,349,1,0,-2,0,-6,1,5,-23,15
1,1,16852,0,0,-1,0,76,4,-10,56,62
1,1,13679,1,0,1,0,-13,-1,-2,15,-12
1,0,-2950,0,0,-1,0,4,1,0,11,-16
0,0,1801,0,0,-4,0,-4,-4,9,7,-1
0,1,6177,0,1,1,0,-63,-1,5,11,-12
0,0,-12422,-1,0,-1,0,-1,2,3,-18,9
1,0,-293,1,0,-2,0,-73,0,2,-33,-38
0,0,-132,1,0,0,0,-63,7,3,-15,-2
1,0,399,0,-1,0,0,-1,0,-3,4,-28
1,0,-3123,-2,0,-1,0,-3,-2,6,-26,15
1,1,3233,-2,0,1,0,-20,-3,1,1,-5
1,1,11707,0,0,2,0,6,2,0,37,0
1,1,5099,1,1,1,0,-234,1,4,57,27
0,0,-1396,-1,0,-3,0,-7,-2,8,-35,-28
1,1,4859,-2,0,0,0,5,0,-5,44,27
0,0,-9835,-2,-1,-1,0,66,-6,-3,-16,-11
0,0,4687,-2,-1,2,0,-2,-3,-7,65,-9
0,1,2002,0,0,0,0,7,-2,2,-2,24
0,0,-2917,-2,0,-2,0,-2,-2,-2,10,-2
0,0,-324,-1,0,-1,0,-12,0,7,-27,-13
1,0,4112,-1,0,1,0,2,0,2,-29,-20
1,1,424,-2,1,1,0,0,1,-4,-13,12
1,0,-3541,1,0,0,0,44,-3,0,18,-16
0,0,-3215,-2,0,0,0,-93,1,4,-75,33
1,1,605,0,0,1,0,-3,-1,0,-10,-22
0,0,-10716,-2,0,-2,0,1,-2,6,-68,45
1,1,-1153,-2,0,0,0,-3,-3,-5,18,0
1,0,-12022,-1,0,-2,0,8,1,1,-65,-4
0,0,-8043,2,0,-3,0,-145,-4,7,-69,8
0,1,-3886,2,0,-1,0,3,-1,-1,-23,26
0,0,-14687,-2,0,-4,0,4,-1,7,-52,-28
1,1,-7446,-2,0,0,0,2,2,0,-47,0
1,1,5223,-2,-1,1,0,-1,2,-5,-1,-15
0,0,-16494,-1,-1,-1,0,18,16,5,-52,-19
1,1,-2327,0,0,0,0,-2,3,4,-48,24
0,1,-1431,1,0,0,0,-5,0,0,-68,3
0,1,5632,-1,0,0,0,5,-5,0,30,-27
0,1,-7509,-2,0,0,0,-5,3,-3,-17,10
0,1,-2943,-2,0,-1,0,-5,-4,-7,67,-13
1,1,1139,0,0,1,0,-4,-3,-6,38,27
1,1,-3957,-1,0,-1,0,-45,1,5,-29,-6
0,0,1418,-2,1,0,0,6,-1,3,-3,3
1,1,-5007,0,-1,-1,0,14,-1,0,21,-8
1,0,-13123,-2,0,-1,0,3,0,1,40,-15
0,0,-1039,0,0,0,0,26,-2,4,-2,-16
0,1,6280,1,1,1,0,-8,-1,-2,-7,3
1,1,-2105,-1,0,2,0,130,0,-2,-4,-12
1,1,9213,1,0,0,0,-5,-2,2,1,28
1,0,1543,0,0,0,0,31,1,-6,-43,-9
1,1,10130,2,-1,0,0,-82,1,-4,-1,4
1,0,-4393,0,0,-1,0,-18,-4,-2,-27,20
1,1,7472,-2,0,1,0,28,-1,-4,52,13
0,1,1657,0,0,1,0,8,6,1,24,-7
1,0,-5092,0,0,-1,0,-8,1,0,11,-21
0,0,-3020,0,0,-1,0,-8,1,6,17,12
0,1,8838,0,0,1,0,65,5,-7,21,23
1,0,6871,0,0,0,0,-11,-2,-2,28,-14
1,1,6736,0,0,0,0,226,0,-4,23,-8
1,1,5782,1,0,1,0,-1,0,-6,6,-27
0,0,-71,2,-1,0,0,15,10,5,-7,-19
0,0,-12996,-2,0,-1,0,3,1,7,-64,-9
1,1,1849,-1,0,0,0,14,0,3,-46,23
1,1,436,1,0,-1,0,-3,2,-2,35,-9
0,1,4787,2,0,-1,0,-8,1,2,1,35
1,0,3823,-2,0,0,0,-160,-4,2,11,-8
0,0,-1655,-2,0,-2,0,-7,-6,4,58,16
0,1,4111,-2,0,-1,0,-11,-1,-6,15,-11
0,1,4336,-1,0,-3,0,8,1,3,-6,17
0,1,10587,2,0,3,0,13,4,-2,36,-10
1,0,509,2,0,0,0,-3,3,-6,-23,-23
1,0,-14285,0,0,0,0,-102,-3,7,-29,8
0,0,-3967,-1,0,0,0,-9,0,-5,12,3
1,0,-37,-2,-1,0,0,-7,-5,-3,-15,-5
1,1,4071,0,0,-1,0,4,2,2,41,-4
1,0,-5880,0,0,-1,0,2,1,2,-54,16
0,0,-21672,-2,0,-3,0,34,-2,8,-67,-41
0,0,-10689,-1,0,-1,0,-26,-2,4,-13,33
0,0,-197,-1,0,0,0,-167,1,0,31,35
1,1,2760,0,0,1,0,-4,0,-8,24,-37
1,0,572,2,0,-2,0,12,7,1,46,12
0,1,-4095,1,-1,-1,0,-6,1,0,24,-1
0,0,-13683,-2,0,0,0,-4,-1,3,34,25
0,0,-2521,0,-1,-3,0,7,1,4,-26,-17
0,1,11173,1,0,2,0,-44,-1,-9,25,17
0,1,23078,1,1,0,0,30,7,1,45,39
1,0,-6154,-1,0,-1,0,2,2,5,-21,-33
0,0,-7338,-2,-1,-2,0,-15,-3,7,-71,-5
0,0,-11342,0,0,-1,0,4,-2,5,-64,-7
1,1,-329,0,0,1,0,2,1,-1,-15,46
1,0,-14463,-2,0,-3,0,-21,-3,6,-33,11
0,1,1273,-1,0,0,0,9,0,-5,4,23
1,0,405,2,0,-1,0,15,4,-1,32,7
1,0,-2128,-2,0,-1,0,11,5,-1,-30,-12
0,1,1419,1,1,0,0,-133,0,4,44,-31
1,1,-4022,0,0,1,0,7,-3,1,2,16
0,0,3284,0,0,-2,0,1,4,6,10,-26
0,0,-18103,-1,-1,-5,0,-19,-5,10,-115,-37
0,1,8789,1,-1,-1,0,-119,1,2,10,-16
1,1,11038,-1,1,3,0,-2,-1,-9,33,-29
0,0,4647,0,0,0,0,14,7,6,-67,-25
0,0,-6051,-2,0,1,0,5,-3,2,-19,9
0,0,-12187,-1,0,-1,0,0,-2,3,0,14
0,0,-10358,-1,-1,-3,0,7,5,6,-61,-8
1,0,-9355,0,-1,0,0,-8,1,2,-8,-19
0,1,2667,0,1,0,0,12,-4,1,14,-12
0,1,-4263,0,0,-1,0,11,-5,1,-4,-33
1,0,-5288,-2,1,0,0,-12,0,0,-1,-38
1,1,1609,-1,0,-1,0,-18,6,-11,33,17
0,0,4643,-2,0,0,0,8,4,-9,3,-15
0,0,-7670,-2,-1,-1,0,-296,0,5,-28,-24
1,1,11231,2,0,2,0,260,5,-5,100,48
1,0,238,0,0,0,0,4,-2,-2,-53,0
1,0,-2092,-2,-1,-1,0,-22,-7,4,8,-43
0,0,-15128,-2,-1,-5,0,-6,-2,6,-112,-2
0,1,-6288,-1,0,0,0,-12,-1,-5,-11,8
1,0,10090,-1,0,1,0,0,1,-2,35,-20
0,0,-58,-1,0,0,0,-15,-8,4,-2,12
1,0,-4244,2,-1,-1,0,-45,5,6,-35,-7
1,1,7324,1,1,-1,0,6,-1,2,-13,61
0,0,-6824,-2,0,0,0,5,2,0,5,-12
1,0,-6257,0,0,-2,0,-69,-2,-1,21,-41
1,1,488,0,0,0,0,-6,0,-1,-4,6
1,0,-5743,-1,0,-2,0,-7,0,4,-37,4
0,0,-5389,-2,0,0,0,-2,0,-4,-38,-4
1,0,3922,-2,0,0,0,17,-1,1,6,13
1,0,11953,1,0,-3,0,4,-2,5,-11,-22
1,0,2685,-2,0,-4,0,-6,-2,-5,33,12
1,0,-2393,0,0,0,0,-10,-2,1,-2,6
0,0,-8128,-1,-1,-3,0,4,0,8,-105,-48
0,0,-15359,0,0,-1,0,-111,3,-4,-22,8
0,0,-6900,-2,-1,-2,0,34,0,3,32,10
1,0,9185,-1,0,-1,0,1,1,-6,43,8
1,0,-4379,0,0,0,0,3,2,6,-24,19
1,1,6805,1,0,0,0,6,5,3,13,-6
1,0,5876,0,0,1,0,16,2,1,11,19
1,1,8117,-1,0,0,0,7,2,0,29,45
1,0,-15242,0,0,-3,0,5,-1,6,-6,-11
0,0,2093,-1,0,-2,0,28,1,6,-50,-26
0,0,-8209,1,0,-2,0,12,3,0,-78,-47
0,0,-3292,0,0,-2,0,-60,1,4,-39,16
1,0,-4446,-2,0,-1,0,-11,-1,4,6,-2
1,0,-9111,0,0,1,0,2,3,-1,14,29
0,0,-2827,-1,-1,0,0,-42,-1,2,9,-24
0,1,-4063,-2,0,-1,0,6,0,0,8,18
1,1,11203,0,1,0,0,0,1,-2,-56,20
1,1,-718,2,0,0,0,-5,-5,-2,0,32
0,0,-857,-2,1,-1,0,0,2,2,-33,-13
1,1,1800,1,-1,-1,0,-1,0,4,9,-1
0,0,-3516,-2,0,1,0,5,6,-4,13,-28
1,1,3157,2,0,0,0,-15,-5,-1,49,14
0,1,6009,-1,1,-1,0,-5,-1,1,24,5
0,0,369,0,0,0,0,-62,5,2,-28,-21
1,0,-8373,-2,0,-3,0,0,-2,6,-43,-8
0,1,2698,-1,0,-1,0,-73,-3,-7,45,-12
1,0,-1469,0,0,0,0,-4,2,-4,-40,20
1,0,-12623,-2,0,0,0,-10,-6,5,-71,12
1,0,1882,0,0,0,0,-11,2,3,45,-44
1,0,-10656,1,0,-1,0,14,4,5,-5,-13
1,1,14627,0,0,2,0,-6,-3,1,54,-15
1,0,-3673,-1,-1,-2,0,10,2,2,-71,-12
1,1,10489,0,0,1,0,3,1,1,-49,9
1,1,10262,2,0,-1,0,1,1,0,85,7
0,0,-7900,0,1,-1,0,-6,-4,5,-92,20
1,0,5235,-2,0,1,0,37,-4,-2,28,12
1,1,98,-2,0,2,0,51,-5,-6,55,10
1,1,20314,2,0,3,0,-9,2,-12,133,16
1,1,4135,1,0,0,0,19,-2,-3,105,16
0,0,-3812,-2,0,0,0,-4,5,-7,-17,-29
0,0,654,0,0,-1,0,5,-2,2,-26,-16
0,1,-11329,-2,-1,0,0,-1,-2,3,-3,-1
0,1,17054,1,0,0,0,-4,1,-1,28,0
1,1,-7094,-2,-1,-4,0,3,-1,7,-51,-3
0,0,-6072,-2,-1,-3,0,-3,0,6,1,0
