blueTeamFirstBlood,blueWin,GoldDifference,XpDifference,DamageDifference,KillDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
0,1,6951,5399,444,11,2,0,1,0,5,2,-5,54,39
1,1,8121,5403,13107,12,2,0,2,0,-3,4,-6,71,13
1,0,2084,656,9701,5,0,0,-1,0,-2,2,-2,33,22
0,1,3586,2526,7595,8,-1,1,0,0,-3,1,-2,-13,-4
0,0,367,-10,1643,-1,-2,0,0,0,-6,-5,3,34,-8
1,1,4444,1829,7964,9,2,1,0,0,-28,-1,0,-9,16
1,1,7106,6421,4655,9,1,0,0,0,24,2,-4,-17,28
0,0,-1763,-11,2379,-2,2,0,0,0,9,-1,2,-13,13
0,0,-708,-1362,10056,-5,-2,0,0,0,200,4,0,-8,-1
0,1,2282,2045,9694,4,1,0,1,0,15,3,-4,11,-4
1,0,5150,2657,7863,9,1,0,-2,0,-3,-5,2,17,3
1,1,-1353,-1364,-11679,-4,0,0,0,0,3,2,3,-27,10
1,1,4018,3511,9789,5,-1,0,1,0,-9,3,-4,41,35
1,0,-1751,-439,-5612,-4,0,0,-1,0,109,-5,-2,-42,14
1,1,1058,-622,8829,-3,-1,0,0,0,4,-2,-5,73,5
1,1,2552,1967,4034,11,0,0,-2,0,17,4,-2,-27,-18
1,1,3091,3125,4747,2,2,0,1,0,3,2,-1,21,20
0,1,341,1328,824,1,-2,1,0,0,-10,1,0,-3,-32
0,0,-1801,-2563,-4532,-2,2,-1,-1,0,3,0,5,-31,8
0,0,-2664,-2493,-2858,-7,1,0,-1,0,15,3,3,-36,21
0,0,-408,280,-4316,4,1,0,0,0,5,-1,-4,-52,0
0,0,-4757,-2236,-4617,-7,-2,0,-3,0,-4,-4,5,-36,-21
0,1,1806,466,5942,-1,-1,0,0,0,16,-2,-1,37,-12
1,0,1852,1895,3302,3,1,0,-1,0,-12,-4,4,1,15
0,0,-6662,-6285,-9931,-6,-2,0,-3,0,-3,0,9,-47,-8
1,0,-671,-472,727,-1,-2,-1,0,0,-54,-5,0,-11,-9
1,0,3774,578,4157,12,-2,0,0,0,2,0,-2,-58,-42
1,1,-1429,-895,-865,0,1,0,-2,0,8,4,3,-19,30
0,0,-246,-338,1090,-1,1,0,-1,0,-14,-1,1,-5,1
0,0,-2691,-493,-3950,0,0,0,-4,0,1,0,5,-38,-12
0,0,-2440,-2343,-7898,-4,-2,0,0,0,4,-3,2,-7,-21
1,1,3436,2050,-4468,1,1,0,1,0,4,5,-8,14,0
1,0,-2264,-1172,505,0,1,0,-1,0,15,0,8,-13,-6
1,0,-4683,-3633,-8548,-7,-1,0,0,0,4,2,7,-58,16
1,1,7185,5175,9386,10,1,0,2,0,15,-3,-13,58,11
1,0,-1445,-1702,-4283,-3,0,0,-1,0,-6,1,3,2,-7
1,1,989,260,2332,4,-1,0,0,0,0,2,2,-4,30
0,1,-1720,52,-6274,-6,-2,1,0,0,7,-1,4,-31,1
0,1,-435,1312,6673,1,2,0,-2,0,95,3,4,24,-19
0,0,-6996,-5232,-8534,-6,-2,0,-4,0,7,0,7,-98,0
1,1,14190,6239,22662,23,0,0,3,0,-14,1,-8,44,41
0,0,-5854,-3956,-2528,-7,-2,0,-2,0,-45,2,2,-84,-10
1,0,-1153,-1027,-10154,-12,-1,0,-1,0,-23,1,-3,24,2
1,0,2929,1814,9167,11,2,1,-1,0,9,2,5,7,-8
1,0,-1432,-977,-6561,-3,-1,0,-1,0,-5,2,6,24,-4
1,1,-5305,-1026,-10214,-7,0,0,-2,0,2,1,4,-11,3
1,1,4599,2608,3385,4,-2,0,2,0,-1,1,-2,70,11
0,1,1557,2306,-1209,-2,-1,1,1,0,-22,1,-7,67,-24
1,1,4389,2515,11788,6,-2,0,1,0,6,3,4,116,-42
0,1,8543,4893,8105,14,-1,1,-3,0,-4,0,-1,18,-5
0,1,-549,-1275,-818,-2,1,0,-1,0,11,3,0,-59,23
0,0,-3919,-4767,-9706,-5,-2,-1,-2,0,12,-2,4,-72,-23
0,1,951,863,-1294,-5,-2,0,1,0,-9,0,1,4,9
1,0,-1297,393,-4866,-2,-2,0,0,0,1,-1,-4,-4,8
1,0,4759,1108,8434,7,0,0,1,0,272,2,-1,-6,25
1,0,1691,-3775,5484,3,0,1,1,0,103,1,-8,-19,-44
0,1,3473,4518,6825,3,0,0,1,0,14,2,-2,57,28
0,1,99,-682,2793,-4,0,0,-2,0,-7,-1,0,11,-1
0,0,-4607,-1738,-9095,-7,0,0,-1,0,113,1,9,-38,-1
0,0,2833,2794,2853,2,-2,1,1,0,1,3,0,58,-7
1,1,3613,348,5816,0,1,0,2,0,-4,-3,-2,40,19
0,1,-1340,857,-7293,-7,0,0,0,0,23,1,-4,-15,17
0,1,4444,1180,7354,4,-1,0,0,0,15,-3,0,11,7
1,1,873,448,1942,-1,0,0,0,0,-1,1,-4,29,1
0,0,-6954,-5940,-12484,-11,-2,0,-2,0,-2,-4,7,-76,-25
1,0,1587,1693,337,0,-2,0,1,0,-25,-3,4,40,4
0,0,-2525,-2342,1536,-6,-2,0,-1,0,-15,0,4,-35,14
1,0,-2544,-3011,-3232,-6,0,0,-1,0,2,0,5,5,-25
0,1,1681,1500,1392,5,-2,-1,-1,0,-74,-3,0,-33,14
1,1,-3106,205,-2487,-6,0,0,-1,0,-21,-1,2,-34,6
1,0,4298,2150,2331,5,1,0,1,0,6,-2,1,-2,16
1,1,-1128,-984,1336,0,-2,0,0,0,-1,1,0,-31,-27
1,0,-6246,-5263,-11948,-11,-2,0,-1,0,2,-4,4,-23,-44
0,0,5054,1722,1357,3,-2,0,2,0,31,0,-8,51,-6
0,1,-1689,802,-6565,-2,0,0,0,0,-2,0,4,7,7
0,0,-5153,-2744,-14118,-7,-2,0,-2,0,-4,2,4,-49,-20
0,1,-1296,1509,2907,-1,2,0,-1,0,10,0,8,-8,19
1,1,1514,1696,1352,10,2,0,-1,0,0,1,4,-42,-4
0,1,6699,3752,19259,15,0,0,0,0,1,0,-4,39,8
1,1,9163,4521,8374,12,-2,0,1,0,-102,3,-11,43,8
0,1,6535,4186,3127,10,0,0,-1,0,-36,4,-7,27,24
1,0,-122,606,-4409,-2,-2,-1,0,0,-1,-2,6,19,12
1,1,-3446,-1423,-9514,-6,-1,0,-2,0,-18,-1,0,-6,4
1,1,11912,7316,17384,19,-1,0,-3,0,7,0,-4,67,16
1,1,1944,2184,14496,10,2,1,-1,0,-9,2,-4,-15,-12
1,1,459,-855,-385,0,-2,-1,-1,0,18,2,1,0,-9
0,1,851,529,-1057,3,-1,0,-1,0,1,4,0,-30,12
1,0,-572,-2249,290,-3,-2,0,-2,0,-70,-7,1,-10,-15
0,0,-3015,-2506,-14412,-7,-2,0,-1,0,-181,-2,6,-57,10
1,1,2703,173,4756,-1,-2,0,-1,0,9,-1,-3,54,-12
1,1,1107,1028,4775,1,-1,0,-1,0,-14,-2,4,13,4
1,0,-403,436,-7379,-1,0,0,-1,0,-1,0,-2,-5,-15
1,1,4220,1271,4388,11,2,-1,0,0,18,1,-2,-65,-4
1,0,-2340,-1454,-4500,-5,-2,0,-1,0,1,1,6,-15,-1
0,0,-1850,-157,-2001,-3,-2,0,-1,0,63,2,6,54,-25
1,1,872,-394,2856,5,1,-1,0,0,-118,-6,1,-60,8
1,1,3846,1321,10848,7,1,0,1,0,26,0,-1,-22,6
0,1,7763,5207,7594,15,0,1,0,0,-8,1,-1,25,42
0,0,-2457,-3437,-4100,-2,1,0,-1,0,0,4,3,-14,-24
0,0,-7065,-2807,-18063,-10,-1,0,-1,0,25,-2,7,-24,-9
0,0,-6059,-4669,-3494,-18,-1,-1,-1,0,-19,-4,0,-21,28
1,0,1576,27,7819,6,-1,0,0,0,58,2,-1,-44,-6
1,1,3160,741,3844,7,-1,0,-2,0,-43,0,3,-67,4
1,0,424,717,5193,-1,0,0,-1,0,29,8,1,30,8
1,1,6279,4681,10952,9,0,1,1,0,2,-1,1,32,22
0,0,-1283,1204,592,1,0,-1,-1,0,-9,-5,9,-44,-4
1,1,-1464,-2544,-2612,1,2,0,-1,0,-4,3,4,-17,-19
0,0,-3846,-2346,-1127,-6,1,0,-3,0,6,2,4,-23,8
0,0,-1358,3151,-889,-1,2,0,-1,0,-14,-5,4,27,8
0,0,-1106,-949,10751,-4,-2,-1,-1,0,-4,0,5,27,11
1,1,778,617,4641,4,0,0,0,0,13,1,2,28,-41
0,1,5089,2658,7247,5,0,0,1,0,132,-3,0,64,14
0,1,-71,-872,-7386,-1,-1,0,-2,0,-8,2,3,-14,-21
1,1,4719,3545,8757,11,2,0,1,0,-6,-1,3,47,20
0,1,1172,-1319,127,0,0,-1,0,0,-2,4,-6,7,12
0,0,-553,-4943,-4296,-1,0,0,0,0,-10,-4,1,-20,-10
1,0,-7281,-3971,-6746,-13,-1,-1,-1,0,0,-1,5,-66,12
0,0,-9037,-5422,-17570,-13,-2,0,-3,0,54,1,6,-65,0
0,0,2114,1571,11047,6,0,0,-1,0,7,8,1,30,28
0,0,-4709,-1926,-9144,-8,-1,-1,-1,0,-5,-2,7,-45,19
1,1,4895,4850,9528,3,2,0,-1,0,0,0,-10,82,14
0,1,-3643,-2677,-7099,-3,0,0,-1,0,-6,-4,1,-37,-25
1,1,3731,1253,2525,6,2,0,2,0,-5,1,-8,50,-24
0,1,-918,1734,2311,-1,-2,0,-1,0,-13,-7,1,-35,-8
1,1,4904,1215,11526,11,1,0,-1,0,17,2,1,21,-1
0,1,-1987,-4411,1898,-9,-1,0,1,0,-3,-2,4,20,-19
1,1,8164,5144,10543,5,2,0,2,0,227,-1,-14,84,7
0,0,-2627,-1944,-12127,0,1,0,0,0,1,-1,6,-60,-17
0,0,-8671,-6497,-6224,-12,-1,-1,-2,0,5,3,7,-109,-9
0,0,1731,867,1022,1,0,0,0,0,24,4,-5,21,12
1,1,5149,3956,5560,11,1,0,0,0,-95,3,0,42,21
1,0,645,-200,-3977,1,-1,-1,0,0,13,2,4,-16,20
0,0,-8957,-6444,-14003,-9,-1,0,-3,0,2,-4,9,-108,-65
1,0,-6467,-5010,-10053,-11,-2,0,-2,0,88,-3,-1,-16,-19
0,0,-6731,-2508,-10118,-10,-1,1,-2,0,-5,0,8,-38,1
1,0,3500,0,-2375,1,1,0,2,0,12,3,-6,-8,15
1,0,-19,-13,-1380,0,1,0,0,0,-48,6,1,-10,12
1,0,-5381,-3600,137,-16,1,-1,-2,0,12,-1,4,-37,11
1,1,1911,-944,4390,-5,2,0,2,0,-8,-5,-8,-6,28
0,0,-4846,-1777,-9640,-5,-2,0,-2,0,-3,0,3,-50,4
1,0,-485,-314,-106,3,-1,0,-1,0,-4,3,3,-41,-8
1,1,-872,-1023,6758,2,2,0,0,0,-7,4,6,-9,6
0,1,-3445,-3009,-8769,-5,0,0,-3,0,-16,-1,10,-17,-10
0,0,-3014,-2144,-9088,-7,1,0,-2,0,-1,1,0,3,-70
0,0,-2321,-2242,-90,-6,-2,0,-1,0,-4,1,-1,-22,16
0,0,-9883,-7867,-15863,-19,-1,0,-2,0,-4,0,6,-43,-27
1,1,-2068,-2778,-5511,-4,0,0,-1,0,-5,0,0,8,-28
0,0,-3632,-3403,500,0,1,0,-2,0,-1,0,0,-57,7
0,0,-3143,-2229,-8889,-8,-2,0,-2,0,9,4,4,-11,-30
0,0,-7480,-4927,-14370,-8,-1,0,-2,0,-2,-1,6,-67,-28
0,0,-2203,-393,535,-1,-1,1,0,0,-7,0,6,-32,-8
0,1,-4197,-2211,-3906,-8,-2,1,-2,0,10,-2,6,-68,14
1,1,3876,2559,11682,6,2,0,-1,0,-69,-1,4,12,19
1,0,2645,220,5326,2,1,0,2,0,-192,3,0,42,-8
1,1,8946,7547,9693,9,0,0,1,0,3,3,-8,104,31
1,0,-5210,-4044,-3113,-7,-1,0,0,0,8,1,5,-48,-9
1,0,-7066,-2720,-5753,-6,-1,0,-3,0,5,0,9,-35,-38
1,1,880,1864,550,1,-1,0,0,0,1,6,1,3,12
1,1,4685,1735,2739,4,2,1,2,0,-121,3,-7,70,11
0,0,-7730,-3168,-11007,-14,-1,-1,-2,0,-1,-1,7,-62,5
0,0,-4279,-3273,-3982,-5,0,0,-2,0,-5,-1,5,-90,-30
0,0,-4102,-4447,-5365,-3,0,-1,-1,0,5,5,4,-31,-40
0,0,-5281,-3842,-11367,-14,-2,-1,0,0,-15,-5,3,36,-11
1,1,5574,3365,-712,7,1,0,1,0,-9,5,-7,12,17
0,0,-5007,-1507,-3459,-10,0,-1,-2,0,-2,2,-1,0,4
1,1,3597,2103,11311,8,-1,0,-1,0,8,3,3,-33,-8
1,1,4144,3806,5382,6,0,0,3,0,61,7,0,15,39
1,0,-14,-670,-4161,3,-2,1,-1,0,-8,0,-2,-22,-17
1,0,897,-1446,-1160,0,-2,0,0,0,8,0,-7,-41,38
1,1,6532,3343,12577,11,1,0,1,0,15,0,2,43,-4
1,1,-1835,-1530,6910,-6,-1,1,-2,0,-3,1,2,15,8
1,0,315,1733,-1200,3,2,0,0,0,-5,-3,-1,-21,-3
1,0,-4310,-793,-12788,-7,-2,0,-1,0,-8,-2,6,-13,-4
1,1,2065,3153,1577,5,2,0,1,0,7,1,0,-14,4
1,1,8165,3924,15626,11,0,0,2,0,-8,0,-10,54,3
1,0,-1761,-1734,2493,-4,2,0,-1,0,-12,-1,0,4,29
0,1,1506,225,-3534,6,-1,0,0,0,-10,-1,5,4,-47
0,0,-3662,-2310,-3775,-7,0,-1,-1,0,-5,3,4,-21,9
1,1,223,-611,653,1,-2,0,0,0,8,3,1,11,-23
0,0,-6966,-5833,-23238,-15,-2,0,-1,0,-3,-2,7,-55,1
1,0,-283,-382,-5377,2,0,0,0,0,-24,1,4,-59,31
0,0,3715,660,5819,6,2,0,1,0,-433,2,0,-4,6
1,1,5588,5590,8784,12,2,0,2,0,227,7,-5,51,2
0,1,-1154,48,780,0,1,-1,-1,0,-291,-3,2,-49,-2
0,1,-1716,124,-4491,-1,2,0,-1,0,216,1,2,-1,-16
1,1,4474,718,-3378,9,1,0,1,0,299,2,-8,-7,13
0,1,-2168,-924,807,-3,2,0,-3,0,247,-4,7,19,-6
1,1,-2397,1260,-11668,1,-1,0,-3,0,166,2,7,-52,7
1,1,4419,3100,1080,7,0,0,0,0,173,1,-4,16,21
0,1,-1752,-897,-3929,1,2,0,-1,0,284,5,-1,4,-18
1,0,-6390,-4581,-10977,-6,-1,0,-3,0,134,-3,4,-110,-13
1,1,12865,8688,12812,13,1,0,1,0,0,-2,-4,118,44
1,0,-3272,-2552,-8594,-6,-2,0,-1,0,240,5,-1,-47,21
1,1,4769,3115,11942,11,2,0,0,0,196,2,1,24,25
0,0,-2194,630,-3950,-1,-2,1,-2,0,231,-1,8,-54,1
0,0,-3033,-3156,-7056,-3,-2,-1,-1,0,-228,0,4,-53,-13
1,1,5439,3990,1470,7,1,1,1,0,216,6,-8,61,32
0,0,280,-40,-5554,-4,-2,1,1,0,236,-1,-1,32,20
1,1,3564,1672,3190,5,-2,0,2,0,-229,4,-2,-14,-7
1,0,3566,2174,-2026,5,0,1,-2,0,392,3,-3,26,12
0,1,4204,2772,4811,6,1,0,1,0,3,2,-2,32,15
0,1,998,-1283,7774,-2,0,0,-2,0,-2,-1,-12,-1,-4
1,1,4130,1362,9615,3,1,0,4,0,31,0,-9,101,-23
1,1,2371,1662,10498,4,0,0,-2,0,9,0,-2,-31,6
1,1,7903,7064,11118,13,2,1,2,0,3,1,-7,78,26
0,0,-705,1020,955,-2,0,0,1,0,-7,0,2,-20,6
1,1,7221,6999,15385,12,0,0,0,0,-31,4,-3,100,42
1,0,1341,-569,3068,3,-2,0,1,0,-2,2,-4,31,0
1,1,8709,5536,10074,14,1,0,1,0,-11,0,-5,64,-11
1,1,3155,2903,2309,5,0,0,-1,0,2,5,-1,39,2
0,0,-3661,-2281,-5764,-8,0,1,-2,0,0,1,4,-13,4
0,1,5060,5009,12311,5,2,0,0,0,-27,3,-5,92,32
0,0,675,-1265,1932,2,0,0,-1,0,6,3,2,-21,-28
1,1,6866,2759,4387,12,2,1,2,0,3,4,-6,33,0
1,0,-5996,-3798,-14003,-4,0,-1,-3,0,11,1,7,-36,-15
1,1,7001,2732,7529,10,2,1,3,0,-10,-5,-7,23,-19
0,0,-5162,-1784,-9413,-3,-2,0,-2,0,-13,-1,6,-88,-12
0,0,-2725,-1953,-6298,-6,-1,0,-1,0,0,-1,-7,9,0
1,1,3787,498,9696,1,-1,0,2,0,13,1,-8,25,-25
1,1,6892,2549,8571,9,1,0,4,0,-2,-2,-3,20,-8
0,0,-3302,-1622,1443,-9,-2,0,-1,0,1,-3,8,31,13
0,1,2182,-5,6318,3,2,1,1,0,7,2,-1,15,16
0,0,-1824,-1181,-10029,-3,0,0,-2,0,11,0,6,-51,-2
0,1,2669,1400,4243,3,0,0,0,0,2,0,2,59,-25
0,1,2793,1308,8,2,-1,-1,1,0,1,0,-9,-24,24
1,0,830,-619,-8982,1,0,1,-1,0,-8,-1,0,8,-8
0,0,-3877,-2738,-5910,-6,-2,0,-1,0,-10,-5,3,-10,-8
1,1,2363,1825,6470,3,0,0,2,0,-25,2,-10,15,-1
0,0,-13520,-6167,-9939,-14,-1,-1,-5,0,161,-6,10,-71,-25
1,1,3848,2427,10612,5,0,1,1,0,-35,2,0,31,35
0,1,3453,4365,4072,3,0,1,1,0,2,2,-4,48,20
0,1,5335,7127,4093,13,2,0,2,0,18,4,-6,77,16
1,1,-317,-287,-11348,-5,-2,1,0,0,-9,-2,3,33,-35
1,0,7875,3415,14755,10,0,0,2,0,-4,-1,-4,36,-12
1,1,4938,35,2560,4,-2,1,2,0,-145,-3,-9,-2,12
1,1,332,1403,453,3,0,-1,0,0,-1,0,-4,2,10
0,0,-8846,-6587,-6375,-13,-2,0,-2,0,-1,-3,6,-108,-25
1,0,6690,1429,7962,17,1,0,0,0,11,-4,-2,-22,32
1,0,-820,-922,4294,-4,-1,0,0,0,-12,-2,3,7,-12
0,1,-3801,-1448,-8951,0,-2,0,-2,0,-2,-3,4,-46,-14
0,0,-1225,-220,4427,-2,0,-1,0,0,4,-1,2,35,-26
0,1,2147,3952,5886,4,1,0,0,0,-11,1,-1,11,11
1,1,1433,-64,5689,4,2,0,-1,0,1,2,0,-44,-28
0,1,4265,2550,-5824,1,0,1,0,0,-31,-1,-6,42,39
0,1,8430,5139,12439,14,1,0,2,0,1,2,-1,61,10
0,1,1315,-230,-2401,4,0,0,0,0,-39,-1,4,17,-16
1,1,-4344,-1559,349,-6,1,0,-2,0,-6,1,5,-23,15
1,1,9961,5268,16852,9,0,0,-1,0,76,4,-10,56,62
1,1,7438,4666,13679,14,1,0,1,0,-13,-1,-2,15,-12
1,0,-2163,-3019,-2950,-2,0,0,-1,0,4,1,0,11,-16
0,0,-1199,1717,1801,2,0,0,-4,0,-4,-4,9,7,-1
0,1,338,510,6177,2,0,1,1,0,-63,-1,5,11,-12
0,0,-4423,-2964,-12422,-9,-1,0,-1,0,-1,2,3,-18,9
1,0,-3207,-3100,-293,-5,1,0,-2,0,-73,0,2,-33,-38
0,0,-919,-556,-132,0,1,0,0,0,-63,7,3,-15,-2
1,0,1279,-1081,399,4,0,-1,0,0,-1,0,-3,4,-28
1,0,-4176,-3380,-3123,-8,-2,0,-1,0,-3,-2,6,-26,15
1,1,1526,1005,3233,1,-2,0,1,0,-20,-3,1,1,-5
1,1,8970,5959,11707,17,0,0,2,0,6,2,0,37,0
1,1,2530,803,5099,-4,1,1,1,0,-234,1,4,57,27
0,0,-7971,-6055,-1396,-10,-1,0,-3,0,-7,-2,8,-35,-28
1,1,2249,1023,4859,-1,-2,0,0,0,5,0,-5,44,27
0,0,-3271,-2685,-9835,-5,-2,-1,-1,0,66,-6,-3,-16,-11
0,0,-879,-230,4687,-9,-2,-1,2,0,-2,-3,-7,65,-9
0,1,1393,1113,2002,2,0,0,0,0,7,-2,2,-2,24
0,0,-3312,-3904,-2917,-11,-2,0,-2,0,-2,-2,-2,10,-2
0,0,-3792,-3338,-324,-6,-1,0,-1,0,-12,0,7,-27,-13
1,0,-411,-3213,4112,2,-1,0,1,0,2,0,2,-29,-20
1,1,3356,2155,424,6,-2,1,1,0,0,1,-4,-13,12
1,0,-1160,-734,-3541,-4,1,0,0,0,44,-3,0,18,-16
0,0,-3030,-3243,-3215,-6,-2,0,0,0,-93,1,4,-75,33
1,1,2370,836,605,3,0,0,1,0,-3,-1,0,-10,-22
0,0,-6776,-2571,-10716,-11,-2,0,-2,0,1,-2,6,-68,45
1,1,833,2032,-1153,-1,-2,0,0,0,-3,-3,-5,18,0
1,0,-5335,-7139,-12022,-8,-1,0,-2,0,8,1,1,-65,-4
0,0,-8575,-3862,-8043,-10,2,0,-3,0,-145,-4,7,-69,8
0,1,618,2505,-3886,2,2,0,-1,0,3,-1,-1,-23,26
0,0,-10014,-6656,-14687,-11,-2,0,-4,0,4,-1,7,-52,-28
1,1,-476,1777,-7446,0,-2,0,0,0,2,2,0,-47,0
1,1,5361,3329,5223,11,-2,-1,1,0,-1,2,-5,-1,-15
0,0,-6414,-5602,-16494,-9,-1,-1,-1,0,18,16,5,-52,-19
1,1,769,-1046,-2327,3,0,0,0,0,-2,3,4,-48,24
0,1,-1239,-1224,-1431,0,1,0,0,0,-5,0,0,-68,3
0,1,24,-1038,5632,-1,-1,0,0,0,5,-5,0,30,-27
0,1,-1210,-1034,-7509,-5,-2,0,0,0,-5,3,-3,-17,10
0,1,4229,3394,-2943,4,-2,0,-1,0,-5,-4,-7,67,-13
1,1,-1591,267,1139,-9,0,0,1,0,-4,-3,-6,38,27
1,1,-3611,-1769,-3957,-2,-1,0,-1,0,-45,1,5,-29,-6
0,0,-880,-161,1418,-3,-2,1,0,0,6,-1,3,-3,3
1,1,-347,-1418,-5007,-3,0,-1,-1,0,14,-1,0,21,-8
1,0,-3364,-1516,-13123,-7,-2,0,-1,0,3,0,1,40,-15
0,0,-3190,-1219,-1039,-6,0,0,0,0,26,-2,4,-2,-16
0,1,4370,1507,6280,8,1,1,1,0,-8,-1,-2,-7,3
1,1,1296,-469,-2105,1,-1,0,2,0,130,0,-2,-4,-12
1,1,3464,2098,9213,8,1,0,0,0,-5,-2,2,1,28
1,0,708,-1094,1543,3,0,0,0,0,31,1,-6,-43,-9
1,1,3555,2014,10130,10,2,-1,0,0,-82,1,-4,-1,4
1,0,-3048,-1327,-4393,-6,0,0,-1,0,-18,-4,-2,-27,20
1,1,3835,3318,7472,2,-2,0,1,0,28,-1,-4,52,13
0,1,4531,2711,1657,7,0,0,1,0,8,6,1,24,-7
1,0,664,-1427,-5092,2,0,0,-1,0,-8,1,0,11,-21
0,0,-788,-206,-3020,-1,0,0,-1,0,-8,1,6,17,12
0,1,4436,726,8838,3,0,0,1,0,65,5,-7,21,23
1,0,2543,1950,6871,1,0,0,0,0,-11,-2,-2,28,-14
