blueTeamFirstBlood,blueWin,DamageDifference,KillDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
1,0,5484,3,0,1,1,0,103,1,-8,-19,-44
0,1,6825,3,0,0,1,0,14,2,-2,57,28
0,1,2793,-4,0,0,-2,0,-7,-1,0,11,-1
0,0,-9095,-7,0,0,-1,0,113,1,9,-38,-1
0,0,2853,2,-2,1,1,0,1,3,0,58,-7
1,1,5816,0,1,0,2,0,-4,-3,-2,40,19
0,1,-7293,-7,0,0,0,0,23,1,-4,-15,17
0,1,7354,4,-1,0,0,0,15,-3,0,11,7
1,1,1942,-1,0,0,0,0,-1,1,-4,29,1
0,0,-12484,-11,-2,0,-2,0,-2,-4,7,-76,-25
1,0,337,0,-2,0,1,0,-25,-3,4,40,4
0,0,1536,-6,-2,0,-1,0,-15,0,4,-35,14
1,0,-3232,-6,0,0,-1,0,2,0,5,5,-25
0,1,1392,5,-2,-1,-1,0,-74,-3,0,-33,14
1,1,-2487,-6,0,0,-1,0,-21,-1,2,-34,6
1,0,2331,5,1,0,1,0,6,-2,1,-2,16
1,1,1336,0,-2,0,0,0,-1,1,0,-31,-27
1,0,-11948,-11,-2,0,-1,0,2,-4,4,-23,-44
0,0,1357,3,-2,0,2,0,31,0,-8,51,-6
0,1,-6565,-2,0,0,0,0,-2,0,4,7,7
0,0,-14118,-7,-2,0,-2,0,-4,2,4,-49,-20
0,1,2907,-1,2,0,-1,0,10,0,8,-8,19
1,1,1352,10,2,0,-1,0,0,1,4,-42,-4
0,1,19259,15,0,0,0,0,1,0,-4,39,8
1,1,8374,12,-2,0,1,0,-102,3,-11,43,8
0,1,3127,10,0,0,-1,0,-36,4,-7,27,24
1,0,-4409,-2,-2,-1,0,0,-1,-2,6,19,12
1,1,-9514,-6,-1,0,-2,0,-18,-1,0,-6,4
1,1,17384,19,-1,0,-3,0,7,0,-4,67,16
1,1,14496,10,2,1,-1,0,-9,2,-4,-15,-12
1,1,-385,0,-2,-1,-1,0,18,2,1,0,-9
0,1,-1057,3,-1,0,-1,0,1,4,0,-30,12
1,0,290,-3,-2,0,-2,0,-70,-7,1,-10,-15
0,0,-14412,-7,-2,0,-1,0,-181,-2,6,-57,10
1,1,4756,-1,-2,0,-1,0,9,-1,-3,54,-12
1,1,4775,1,-1,0,-1,0,-14,-2,4,13,4
1,0,-7379,-1,0,0,-1,0,-1,0,-2,-5,-15
1,1,4388,11,2,-1,0,0,18,1,-2,-65,-4
1,0,-4500,-5,-2,0,-1,0,1,1,6,-15,-1
0,0,-2001,-3,-2,0,-1,0,63,2,6,54,-25
1,1,2856,5,1,-1,0,0,-118,-6,1,-60,8
1,1,10848,7,1,0,1,0,26,0,-1,-22,6
0,1,7594,15,0,1,0,0,-8,1,-1,25,42
0,0,-4100,-2,1,0,-1,0,0,4,3,-14,-24
0,0,-18063,-10,-1,0,-1,0,25,-2,7,-24,-9
0,0,-3494,-18,-1,-1,-1,0,-19,-4,0,-21,28
1,0,7819,6,-1,0,0,0,58,2,-1,-44,-6
1,1,3844,7,-1,0,-2,0,-43,0,3,-67,4
1,0,5193,-1,0,0,-1,0,29,8,1,30,8
1,1,10952,9,0,1,1,0,2,-1,1,32,22
0,0,592,1,0,-1,-1,0,-9,-5,9,-44,-4
1,1,-2612,1,2,0,-1,0,-4,3,4,-17,-19
0,0,-1127,-6,1,0,-3,0,6,2,4,-23,8
0,0,-889,-1,2,0,-1,0,-14,-5,4,27,8
0,0,10751,-4,-2,-1,-1,0,-4,0,5,27,11
1,1,4641,4,0,0,0,0,13,1,2,28,-41
0,1,7247,5,0,0,1,0,132,-3,0,64,14
0,1,-7386,-1,-1,0,-2,0,-8,2,3,-14,-21
1,1,8757,11,2,0,1,0,-6,-1,3,47,20
0,1,127,0,0,-1,0,0,-2,4,-6,7,12
0,0,-4296,-1,0,0,0,0,-10,-4,1,-20,-10
1,0,-6746,-13,-1,-1,-1,0,0,-1,5,-66,12
0,0,-17570,-13,-2,0,-3,0,54,1,6,-65,0
0,0,11047,6,0,0,-1,0,7,8,1,30,28
0,0,-9144,-8,-1,-1,-1,0,-5,-2,7,-45,19
1,1,9528,3,2,0,-1,0,0,0,-10,82,14
0,1,-7099,-3,0,0,-1,0,-6,-4,1,-37,-25
1,1,2525,6,2,0,2,0,-5,1,-8,50,-24
0,1,2311,-1,-2,0,-1,0,-13,-7,1,-35,-8
1,1,11526,11,1,0,-1,0,17,2,1,21,-1
0,1,1898,-9,-1,0,1,0,-3,-2,4,20,-19
1,1,10543,5,2,0,2,0,227,-1,-14,84,7
0,0,-12127,0,1,0,0,0,1,-1,6,-60,-17
0,0,-6224,-12,-1,-1,-2,0,5,3,7,-109,-9
0,0,1022,1,0,0,0,0,24,4,-5,21,12
1,1,5560,11,1,0,0,0,-95,3,0,42,21
1,0,-3977,1,-1,-1,0,0,13,2,4,-16,20
0,0,-14003,-9,-1,0,-3,0,2,-4,9,-108,-65
1,0,-10053,-11,-2,0,-2,0,88,-3,-1,-16,-19
0,0,-10118,-10,-1,1,-2,0,-5,0,8,-38,1
1,0,-2375,1,1,0,2,0,12,3,-6,-8,15
1,0,-1380,0,1,0,0,0,-48,6,1,-10,12
1,0,137,-16,1,-1,-2,0,12,-1,4,-37,11
1,1,4390,-5,2,0,2,0,-8,-5,-8,-6,28
0,0,-9640,-5,-2,0,-2,0,-3,0,3,-50,4
1,0,-106,3,-1,0,-1,0,-4,3,3,-41,-8
1,1,6758,2,2,0,0,0,-7,4,6,-9,6
0,1,-8769,-5,0,0,-3,0,-16,-1,10,-17,-10
0,0,-9088,-7,1,0,-2,0,-1,1,0,3,-70
0,0,-90,-6,-2,0,-1,0,-4,1,-1,-22,16
0,0,-15863,-19,-1,0,-2,0,-4,0,6,-43,-27
1,1,-5511,-4,0,0,-1,0,-5,0,0,8,-28
0,0,500,0,1,0,-2,0,-1,0,0,-57,7
0,0,-8889,-8,-2,0,-2,0,9,4,4,-11,-30
0,0,-14370,-8,-1,0,-2,0,-2,-1,6,-67,-28
0,0,535,-1,-1,1,0,0,-7,0,6,-32,-8
0,1,-3906,-8,-2,1,-2,0,10,-2,6,-68,14
1,1,11682,6,2,0,-1,0,-69,-1,4,12,19
1,0,5326,2,1,0,2,0,-192,3,0,42,-8
1,1,9693,9,0,0,1,0,3,3,-8,104,31
1,0,-3113,-7,-1,0,0,0,8,1,5,-48,-9
1,0,-5753,-6,-1,0,-3,0,5,0,9,-35,-38
1,1,550,1,-1,0,0,0,1,6,1,3,12
1,1,2739,4,2,1,2,0,-121,3,-7,70,11
0,0,-11007,-14,-1,-1,-2,0,-1,-1,7,-62,5
0,0,-3982,-5,0,0,-2,0,-5,-1,5,-90,-30
0,0,-5365,-3,0,-1,-1,0,5,5,4,-31,-40
0,0,-11367,-14,-2,-1,0,0,-15,-5,3,36,-11
1,1,-712,7,1,0,1,0,-9,5,-7,12,17
0,0,-3459,-10,0,-1,-2,0,-2,2,-1,0,4
1,1,11311,8,-1,0,-1,0,8,3,3,-33,-8
1,1,5382,6,0,0,3,0,61,7,0,15,39
1,0,-4161,3,-2,1,-1,0,-8,0,-2,-22,-17
1,0,-1160,0,-2,0,0,0,8,0,-7,-41,38
1,1,12577,11,1,0,1,0,15,0,2,43,-4
1,1,6910,-6,-1,1,-2,0,-3,1,2,15,8
1,0,-1200,3,2,0,0,0,-5,-3,-1,-21,-3
1,0,-12788,-7,-2,0,-1,0,-8,-2,6,-13,-4
1,1,1577,5,2,0,1,0,7,1,0,-14,4
1,1,15626,11,0,0,2,0,-8,0,-10,54,3
1,0,2493,-4,2,0,-1,0,-12,-1,0,4,29
0,1,-3534,6,-1,0,0,0,-10,-1,5,4,-47
0,0,-3775,-7,0,-1,-1,0,-5,3,4,-21,9
1,1,653,1,-2,0,0,0,8,3,1,11,-23
0,0,-23238,-15,-2,0,-1,0,-3,-2,7,-55,1
1,0,-5377,2,0,0,0,0,-24,1,4,-59,31
0,0,5819,6,2,0,1,0,-433,2,0,-4,6
1,1,8784,12,2,0,2,0,227,7,-5,51,2
0,1,780,0,1,-1,-1,0,-291,-3,2,-49,-2
0,1,-4491,-1,2,0,-1,0,216,1,2,-1,-16
1,1,-3378,9,1,0,1,0,299,2,-8,-7,13
0,1,807,-3,2,0,-3,0,247,-4,7,19,-6
1,1,-11668,1,-1,0,-3,0,166,2,7,-52,7
1,1,1080,7,0,0,0,0,173,1,-4,16,21
0,1,-3929,1,2,0,-1,0,284,5,-1,4,-18
1,0,-10977,-6,-1,0,-3,0,134,-3,4,-110,-13
1,1,12812,13,1,0,1,0,0,-2,-4,118,44
1,0,-8594,-6,-2,0,-1,0,240,5,-1,-47,21
1,1,11942,11,2,0,0,0,196,2,1,24,25
0,0,-3950,-1,-2,1,-2,0,231,-1,8,-54,1
0,0,-7056,-3,-2,-1,-1,0,-228,0,4,-53,-13
1,1,1470,7,1,1,1,0,216,6,-8,61,32
0,0,-5554,-4,-2,1,1,0,236,-1,-1,32,20
1,1,3190,5,-2,0,2,0,-229,4,-2,-14,-7
1,0,-2026,5,0,1,-2,0,392,3,-3,26,12
0,1,4811,6,1,0,1,0,3,2,-2,32,15
0,1,7774,-2,0,0,-2,0,-2,-1,-12,-1,-4
1,1,9615,3,1,0,4,0,31,0,-9,101,-23
1,1,10498,4,0,0,-2,0,9,0,-2,-31,6
1,1,11118,13,2,1,2,0,3,1,-7,78,26
0,0,955,-2,0,0,1,0,-7,0,2,-20,6
1,1,15385,12,0,0,0,0,-31,4,-3,100,42
1,0,3068,3,-2,0,1,0,-2,2,-4,31,0
1,1,10074,14,1,0,1,0,-11,0,-5,64,-11
1,1,2309,5,0,0,-1,0,2,5,-1,39,2
0,0,-5764,-8,0,1,-2,0,0,1,4,-13,4
0,1,12311,5,2,0,0,0,-27,3,-5,92,32
0,0,1932,2,0,0,-1,0,6,3,2,-21,-28
1,1,4387,12,2,1,2,0,3,4,-6,33,0
1,0,-14003,-4,0,-1,-3,0,11,1,7,-36,-15
1,1,7529,10,2,1,3,0,-10,-5,-7,23,-19
0,0,-9413,-3,-2,0,-2,0,-13,-1,6,-88,-12
0,0,-6298,-6,-1,0,-1,0,0,-1,-7,9,0
1,1,9696,1,-1,0,2,0,13,1,-8,25,-25
1,1,8571,9,1,0,4,0,-2,-2,-3,20,-8
0,0,1443,-9,-2,0,-1,0,1,-3,8,31,13
0,1,6318,3,2,1,1,0,7,2,-1,15,16
0,0,-10029,-3,0,0,-2,0,11,0,6,-51,-2
0,1,4243,3,0,0,0,0,2,0,2,59,-25
0,1,8,2,-1,-1,1,0,1,0,-9,-24,24
1,0,-8982,1,0,1,-1,0,-8,-1,0,8,-8
0,0,-5910,-6,-2,0,-1,0,-10,-5,3,-10,-8
1,1,6470,3,0,0,2,0,-25,2,-10,15,-1
0,0,-9939,-14,-1,-1,-5,0,161,-6,10,-71,-25
1,1,10612,5,0,1,1,0,-35,2,0,31,35
0,1,4072,3,0,1,1,0,2,2,-4,48,20
0,1,4093,13,2,0,2,0,18,4,-6,77,16
1,1,-11348,-5,-2,1,0,0,-9,-2,3,33,-35
1,0,14755,10,0,0,2,0,-4,-1,-4,36,-12
1,1,2560,4,-2,1,2,0,-145,-3,-9,-2,12
1,1,453,3,0,-1,0,0,-1,0,-4,2,10
0,0,-6375,-13,-2,0,-2,0,-1,-3,6,-108,-25
1,0,7962,17,1,0,0,0,11,-4,-2,-22,32
1,0,4294,-4,-1,0,0,0,-12,-2,3,7,-12
0,1,-8951,0,-2,0,-2,0,-2,-3,4,-46,-14
0,0,4427,-2,0,-1,0,0,4,-1,2,35,-26
0,1,5886,4,1,0,0,0,-11,1,-1,11,11
1,1,5689,4,2,0,-1,0,1,2,0,-44,-28
0,1,-5824,1,0,1,0,0,-31,-1,-6,42,39
0,1,12439,14,1,0,2,0,1,2,-1,61,10
0,1,-2401,4,0,0,0,0,-39,-1,4,17,-16
1,1,349,-6,1,0,-2,0,-6,1,5,-23,15
1,1,16852,9,0,0,-1,0,76,4,-10,56,62
1,1,13679,14,1,0,1,0,-13,-1,-2,15,-12
1,0,-2950,-2,0,0,-1,0,4,1,0,11,-16
0,0,1801,2,0,0,-4,0,-4,-4,9,7,-1
0,1,6177,2,0,1,1,0,-63,-1,5,11,-12
0,0,-12422,-9,-1,0,-1,0,-1,2,3,-18,9
1,0,-293,-5,1,0,-2,0,-73,0,2,-33,-38
0,0,-132,0,1,0,0,0,-63,7,3,-15,-2
1,0,399,4,0,-1,0,0,-1,0,-3,4,-28
1,0,-3123,-8,-2,0,-1,0,-3,-2,6,-26,15
1,1,3233,1,-2,0,1,0,-20,-3,1,1,-5
1,1,11707,17,0,0,2,0,6,2,0,37,0
1,1,5099,-4,1,1,1,0,-234,1,4,57,27
0,0,-1396,-10,-1,0,-3,0,-7,-2,8,-35,-28
1,1,4859,-1,-2,0,0,0,5,0,-5,44,27
0,0,-9835,-5,-2,-1,-1,0,66,-6,-3,-16,-11
0,0,4687,-9,-2,-1,2,0,-2,-3,-7,65,-9
0,1,2002,2,0,0,0,0,7,-2,2,-2,24
0,0,-2917,-11,-2,0,-2,0,-2,-2,-2,10,-2
0,0,-324,-6,-1,0,-1,0,-12,0,7,-27,-13
1,0,4112,2,-1,0,1,0,2,0,2,-29,-20
1,1,424,6,-2,1,1,0,0,1,-4,-13,12
1,0,-3541,-4,1,0,0,0,44,-3,0,18,-16
0,0,-3215,-6,-2,0,0,0,-93,1,4,-75,33
1,1,605,3,0,0,1,0,-3,-1,0,-10,-22
0,0,-10716,-11,-2,0,-2,0,1,-2,6,-68,45
1,1,-1153,-1,-2,0,0,0,-3,-3,-5,18,0
1,0,-12022,-8,-1,0,-2,0,8,1,1,-65,-4
0,0,-8043,-10,2,0,-3,0,-145,-4,7,-69,8
0,1,-3886,2,2,0,-1,0,3,-1,-1,-23,26
0,0,-14687,-11,-2,0,-4,0,4,-1,7,-52,-28
1,1,-7446,0,-2,0,0,0,2,2,0,-47,0
1,1,5223,11,-2,-1,1,0,-1,2,-5,-1,-15
0,0,-16494,-9,-1,-1,-1,0,18,16,5,-52,-19
1,1,-2327,3,0,0,0,0,-2,3,4,-48,24
0,1,-1431,0,1,0,0,0,-5,0,0,-68,3
0,1,5632,-1,-1,0,0,0,5,-5,0,30,-27
0,1,-7509,-5,-2,0,0,0,-5,3,-3,-17,10
0,1,-2943,4,-2,0,-1,0,-5,-4,-7,67,-13
1,1,1139,-9,0,0,1,0,-4,-3,-6,38,27
1,1,-3957,-2,-1,0,-1,0,-45,1,5,-29,-6
0,0,1418,-3,-2,1,0,0,6,-1,3,-3,3
1,1,-5007,-3,0,-1,-1,0,14,-1,0,21,-8
1,0,-13123,-7,-2,0,-1,0,3,0,1,40,-15
0,0,-1039,-6,0,0,0,0,26,-2,4,-2,-16
0,1,6280,8,1,1,1,0,-8,-1,-2,-7,3
1,1,-2105,1,-1,0,2,0,130,0,-2,-4,-12
1,1,9213,8,1,0,0,0,-5,-2,2,1,28
1,0,1543,3,0,0,0,0,31,1,-6,-43,-9
1,1,10130,10,2,-1,0,0,-82,1,-4,-1,4
1,0,-4393,-6,0,0,-1,0,-18,-4,-2,-27,20
1,1,7472,2,-2,0,1,0,28,-1,-4,52,13
0,1,1657,7,0,0,1,0,8,6,1,24,-7
1,0,-5092,2,0,0,-1,0,-8,1,0,11,-21
0,0,-3020,-1,0,0,-1,0,-8,1,6,17,12
0,1,8838,3,0,0,1,0,65,5,-7,21,23
1,0,6871,1,0,0,0,0,-11,-2,-2,28,-14
1,1,6736,11,0,0,0,0,226,0,-4,23,-8
1,1,5782,9,1,0,1,0,-1,0,-6,6,-27
0,0,-71,4,2,-1,0,0,15,10,5,-7,-19
0,0,-12996,-8,-2,0,-1,0,3,1,7,-64,-9
1,1,1849,5,-1,0,0,0,14,0,3,-46,23
1,1,436,1,1,0,-1,0,-3,2,-2,35,-9
0,1,4787,6,2,0,-1,0,-8,1,2,1,35
1,0,3823,-5,-2,0,0,0,-160,-4,2,11,-8
0,0,-1655,-8,-2,0,-2,0,-7,-6,4,58,16
0,1,4111,3,-2,0,-1,0,-11,-1,-6,15,-11
0,1,4336,-1,-1,0,-3,0,8,1,3,-6,17
0,1,10587,10,2,0,3,0,13,4,-2,36,-10
1,0,509,-3,2,0,0,0,-3,3,-6,-23,-23
1,0,-14285,2,0,0,0,0,-102,-3,7,-29,8
0,0,-3967,-3,-1,0,0,0,-9,0,-5,12,3
1,0,-37,2,-2,-1,0,0,-7,-5,-3,-15,-5
1,1,4071,-2,0,0,-1,0,4,2,2,41,-4
1,0,-5880,1,0,0,-1,0,2,1,2,-54,16
0,0,-21672,-14,-2,0,-3,0,34,-2,8,-67,-41
0,0,-10689,-8,-1,0,-1,0,-26,-2,4,-13,33
0,0,-197,-9,-1,0,0,0,-167,1,0,31,35
1,1,2760,5,0,0,1,0,-4,0,-8,24,-37
1,0,572,0,2,0,-2,0,12,7,1,46,12
0,1,-4095,0,1,-1,-1,0,-6,1,0,24,-1
0,0,-13683,-5,-2,0,0,0,-4,-1,3,34,25
0,0,-2521,1,0,-1,-3,0,7,1,4,-26,-17
0,1,11173,5,1,0,2,0,-44,-1,-9,25,17
0,1,23078,22,1,1,0,0,30,7,1,45,39
1,0,-6154,-3,-1,0,-1,0,2,2,5,-21,-33
0,0,-7338,-12,-2,-1,-2,0,-15,-3,7,-71,-5
0,0,-11342,-7,0,0,-1,0,4,-2,5,-64,-7
1,1,-329,-6,0,0,1,0,2,1,-1,-15,46
1,0,-14463,-9,-2,0,-3,0,-21,-3,6,-33,11
0,1,1273,5,-1,0,0,0,9,0,-5,4,23
1,0,405,4,2,0,-1,0,15,4,-1,32,7
1,0,-2128,-3,-2,0,-1,0,11,5,-1,-30,-12
0,1,1419,3,1,1,0,0,-133,0,4,44,-31
1,1,-4022,2,0,0,1,0,7,-3,1,2,16
0,0,3284,-6,0,0,-2,0,1,4,6,10,-26
0,0,-18103,-20,-1,-1,-5,0,-19,-5,10,-115,-37
0,1,8789,8,1,-1,-1,0,-119,1,2,10,-16
1,1,11038,13,-1,1,3,0,-2,-1,-9,33,-29
0,0,4647,5,0,0,0,0,14,7,6,-67,-25
0,0,-6051,-3,-2,0,1,0,5,-3,2,-19,9
0,0,-12187,-14,-1,0,-1,0,0,-2,3,0,14
0,0,-10358,-13,-1,-1,-3,0,7,5,6,-61,-8
1,0,-9355,-5,0,-1,0,0,-8,1,2,-8,-19
0,1,2667,-4,0,1,0,0,12,-4,1,14,-12
0,1,-4263,-10,0,0,-1,0,11,-5,1,-4,-33
1,0,-5288,1,-2,1,0,0,-12,0,0,-1,-38
1,1,1609,3,-1,0,-1,0,-18,6,-11,33,17
0,0,4643,0,-2,0,0,0,8,4,-9,3,-15
0,0,-7670,-3,-2,-1,-1,0,-296,0,5,-28,-24
1,1,11231,9,2,0,2,0,260,5,-5,100,48
1,0,238,2,0,0,0,0,4,-2,-2,-53,0
1,0,-2092,-6,-2,-1,-1,0,-22,-7,4,8,-43
0,0,-15128,-18,-2,-1,-5,0,-6,-2,6,-112,-2
0,1,-6288,-6,-1,0,0,0,-12,-1,-5,-11,8
1,0,10090,4,-1,0,1,0,0,1,-2,35,-20
0,0,-58,2,-1,0,0,0,-15,-8,4,-2,12
1,0,-4244,-3,2,-1,-1,0,-45,5,6,-35,-7
1,1,7324,4,1,1,-1,0,6,-1,2,-13,61
0,0,-6824,-5,-2,0,0,0,5,2,0,5,-12
1,0,-6257,-9,0,0,-2,0,-69,-2,-1,21,-41
1,1,488,5,0,0,0,0,-6,0,-1,-4,6
1,0,-5743,-10,-1,0,-2,0,-7,0,4,-37,4
0,0,-5389,-8,-2,0,0,0,-2,0,-4,-38,-4
1,0,3922,-1,-2,0,0,0,17,-1,1,6,13
1,0,11953,6,1,0,-3,0,4,-2,5,-11,-22
1,0,2685,-8,-2,0,-4,0,-6,-2,-5,33,12
1,0,-2393,6,0,0,0,0,-10,-2,1,-2,6
0,0,-8128,-14,-1,-1,-3,0,4,0,8,-105,-48
0,0,-15359,-5,0,0,-1,0,-111,3,-4,-22,8
0,0,-6900,-7,-2,-1,-2,0,34,0,3,32,10
1,0,9185,4,-1,0,-1,0,1,1,-6,43,8
1,0,-4379,2,0,0,0,0,3,2,6,-24,19
1,1,6805,11,1,0,0,0,6,5,3,13,-6
