blueTeamControlWardsPlaced,blueTeamWardsPlaced,blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTowersDestroyed,blueTeamInhibitorsDestroyed,blueTeamTurretPlatesDestroyed,blueTeamFirstBlood,blueTeamMinionsKilled,blueTeamJungleMinions,blueTeamXp,blueTeamTotalDamageToChamps,redTeamControlWardsPlaced,redTeamWardsPlaced,redTeamTotalKills,redTeamDragonKills,redTeamHeraldKills,redTeamTowersDestroyed,redTeamInhibitorsDestroyed,redTeamTurretPlatesDestroyed,redTeamMinionsKilled,redTeamJungleMinions,redTeamXp,redTeamTotalDamageToChamps,blueWin
7,42,8,1,1,0,0,4,1,396,112,1,-1,8,34,4,1,0,0,0,3,351,92,-1,-2,1
8,35,11,0,0,0,0,6,1,365,92,0,-1,6,29,14,2,0,0,0,8,356,87,0,0,0
1,22,11,0,0,0,0,10,0,360,98,0,-1,5,27,22,2,0,0,0,8,365,86,2,1,0
3,200,6,2,0,0,0,8,1,372,97,0,-2,4,29,10,0,0,0,0,6,366,89,0,0,0
2,18,9,0,0,0,0,6,0,373,103,0,0,2,22,18,2,0,0,0,3,345,92,0,0,0
4,29,13,0,0,0,0,7,0,383,90,1,0,3,100,22,1,0,0,0,7,337,96,0,3,0
2,22,25,0,0,0,0,5,1,395,100,2,2,1,21,8,0,0,0,0,7,329,76,-1,-2,1
1,21,16,2,0,0,0,5,1,385,81,1,1,1,29,9,0,0,0,0,9,343,94,0,1,1
3,29,18,2,1,0,0,5,1,391,83,1,-1,7,41,0,0,0,0,0,7,328,96,-2,-2,1
9,32,19,0,0,0,0,5,1,359,80,1,1,3,154,16,2,0,0,0,9,301,75,0,1,1
1,28,22,1,1,0,0,6,1,332,108,1,2,1,200,8,0,0,0,0,6,293,79,-2,0,1
3,27,12,0,0,0,0,3,1,413,98,1,0,2,44,7,1,0,0,0,10,302,80,-2,-2,1
7,30,19,2,0,0,0,7,1,344,74,0,1,5,43,11,0,0,0,0,7,340,82,-1,-1,1
2,27,16,0,0,0,0,12,0,331,81,0,0,5,30,11,2,0,0,0,5,341,97,0,0,0
4,31,6,0,0,0,0,10,0,344,79,-1,-1,3,38,17,2,0,0,0,4,390,96,0,0,0
5,46,12,1,0,0,0,4,0,411,80,1,0,4,27,5,1,0,0,0,3,345,87,-1,-1,1
7,31,15,0,0,0,0,6,1,355,83,0,0,4,67,13,2,0,0,0,8,363,85,0,0,0
4,37,12,1,0,0,0,10,0,348,90,0,1,2,22,17,1,0,0,0,4,300,90,0,1,0
4,26,14,0,0,0,0,13,0,329,64,-1,0,2,34,27,1,0,0,0,4,361,85,1,2,0
4,26,14,0,0,0,0,9,0,306,84,-2,-1,1,30,19,2,0,0,0,8,349,80,0,1,0
6,36,11,0,1,0,0,2,0,392,102,0,0,5,26,11,2,0,0,0,7,349,98,-1,-1,0
2,24,10,1,0,0,0,7,1,367,120,1,0,3,29,12,1,0,0,0,5,355,92,1,1,1
2,24,10,1,0,0,0,6,0,332,84,-1,-1,2,31,16,1,0,0,0,3,353,93,1,0,0
4,22,17,0,1,0,0,2,1,342,100,-1,0,1,26,16,1,0,0,0,5,304,76,-1,0,0
3,27,8,0,0,0,0,6,0,355,89,0,-1,6,35,20,2,0,0,0,1,391,98,2,1,0
2,139,22,0,0,0,0,9,1,349,95,1,1,6,31,17,1,0,0,0,3,334,90,0,0,1
5,29,16,2,1,0,0,14,0,282,87,0,1,4,200,11,0,0,0,0,3,349,94,0,1,0
5,25,9,2,0,0,0,7,1,361,81,-1,0,4,30,23,0,0,0,0,5,333,94,1,1,0
2,25,14,2,0,0,0,5,0,366,99,1,0,1,91,12,0,0,0,0,6,321,62,0,1,1
0,78,14,1,0,0,0,5,0,320,90,0,0,5,28,16,0,0,0,0,3,359,74,0,0,1
7,31,18,1,0,0,0,5,1,354,82,1,1,3,26,11,0,0,0,0,8,345,114,-1,-1,1
7,28,16,2,0,0,0,1,1,425,98,3,1,3,21,8,0,0,0,0,13,328,102,-1,-2,1
0,28,14,0,0,0,0,8,1,393,73,0,0,5,28,18,2,0,0,0,13,302,74,0,2,1
5,27,12,1,1,0,0,6,1,389,78,1,-1,1,49,10,1,0,0,0,3,384,106,0,-1,1
6,25,14,1,0,0,0,4,1,348,90,0,1,0,59,3,1,0,0,0,8,332,66,-2,-1,1
1,28,12,2,0,0,0,0,1,346,87,-1,-1,6,26,7,0,0,0,0,9,298,93,-1,0,1
5,31,18,1,0,0,0,5,1,359,92,-1,1,6,31,19,0,0,0,0,7,334,46,-1,2,1
4,32,16,2,0,0,0,6,1,317,98,0,1,3,24,8,0,0,0,0,11,346,82,-2,0,1
5,29,14,2,0,0,0,5,1,402,100,1,1,5,32,10,0,1,0,0,8,311,84,-1,-1,1
6,145,8,0,0,0,0,7,0,377,94,0,-1,7,28,9,2,0,0,0,9,379,101,0,-1,0
4,28,24,1,0,0,0,6,1,345,76,1,1,5,25,11,1,0,0,0,8,372,83,0,0,1
1,24,12,2,0,0,0,2,1,405,96,1,0,2,25,5,0,0,0,0,9,299,96,-1,-1,1
1,22,14,1,1,0,0,5,0,419,115,3,0,3,22,7,1,0,0,0,6,357,94,0,-1,1
4,32,16,2,0,0,0,3,0,405,119,2,-1,2,27,5,0,0,0,0,8,351,80,-1,-1,1
6,36,16,2,0,0,0,3,1,418,94,2,0,2,39,4,0,0,0,0,9,347,81,-1,-2,1
4,26,15,1,0,0,0,5,1,343,101,0,1,2,28,10,1,0,0,0,7,310,79,0,-1,0
2,22,17,0,1,0,0,6,0,342,88,0,1,1,25,9,1,0,0,0,8,355,92,-1,-1,1
3,26,15,0,0,0,0,8,0,385,81,0,1,8,32,16,2,0,0,0,5,351,89,0,0,0
2,18,16,2,1,0,0,4,1,375,104,2,0,3,46,7,0,0,0,0,4,384,88,1,-1,1
7,50,17,1,0,0,0,4,1,323,100,2,0,5,26,8,0,0,0,0,8,340,72,-2,-1,1
4,31,10,2,0,0,0,5,0,330,86,0,0,5,22,12,0,0,0,0,3,343,73,0,-1,0
5,200,11,0,0,0,0,7,0,355,84,0,2,1,20,16,2,0,0,0,7,363,85,1,0,0
5,43,19,1,0,0,0,4,0,336,70,0,2,2,28,15,0,0,0,0,8,325,74,-1,0,1
3,23,18,1,0,0,0,7,1,360,78,1,1,8,26,9,0,0,0,0,5,343,75,-1,-1,0
4,28,10,1,0,0,0,5,1,360,94,0,-1,2,25,14,1,0,0,0,2,387,84,1,1,1
5,25,11,0,0,0,0,4,1,387,111,2,0,2,34,6,1,0,0,0,8,346,76,0,-1,1
2,149,14,1,0,0,0,10,1,301,96,-1,0,7,40,18,1,0,0,0,12,343,82,-1,1,0
3,30,11,0,0,0,0,2,1,387,79,0,1,5,26,14,1,0,0,0,7,314,74,0,-1,1
6,37,18,1,0,0,0,8,1,356,73,1,0,2,20,7,1,0,0,0,10,383,91,0,0,1
2,23,12,2,0,0,0,6,1,391,110,2,0,0,20,10,0,0,0,0,7,370,90,0,-1,1
2,20,14,0,1,0,0,6,0,338,81,1,0,1,30,13,2,0,0,0,6,341,113,0,0,1
2,24,8,2,0,0,0,6,0,349,95,0,-1,2,21,10,0,1,0,0,1,380,87,1,0,0
4,39,9,1,0,0,0,7,0,320,105,-1,-1,1,24,16,0,0,0,0,4,356,84,0,-1,0
4,28,15,1,0,0,0,7,0,338,88,1,0,5,23,11,0,0,0,0,11,390,88,0,0,0
0,25,12,0,0,0,0,11,0,320,75,-1,-1,4,29,19,2,0,0,0,6,356,96,0,0,0
3,41,15,0,0,0,0,8,0,385,80,1,0,5,25,16,1,0,0,0,9,348,92,1,-1,1
3,21,11,1,0,0,0,5,1,392,95,0,-1,7,33,8,0,0,0,0,1,391,80,-1,-1,0
6,26,13,0,0,0,0,13,0,288,80,-3,-1,6,29,19,2,0,0,0,4,335,88,1,1,0
2,22,16,0,0,0,0,7,1,320,93,-1,2,7,76,17,2,1,0,0,7,331,102,0,2,0
2,64,16,0,0,0,0,5,1,324,71,0,0,2,62,4,2,0,0,0,7,382,113,0,-1,0
4,32,16,1,0,0,0,10,1,363,104,0,0,0,24,16,0,0,0,0,7,382,74,0,0,1
2,56,9,1,0,0,0,6,0,381,68,0,-1,3,70,10,0,0,0,0,5,386,67,0,-1,0
3,32,19,1,0,0,0,11,0,331,78,0,1,3,31,19,1,0,0,0,6,369,90,0,1,0
4,33,6,0,0,0,0,7,0,398,87,0,-2,7,29,10,2,0,0,0,5,405,108,1,-1,0
7,37,18,1,0,0,0,4,1,336,83,0,1,2,33,17,0,0,0,0,12,322,83,-1,1,1
4,42,16,1,0,0,0,12,1,366,77,-1,0,4,27,16,0,0,0,0,4,379,83,0,0,0
4,26,7,0,0,0,0,8,1,369,94,0,-2,2,22,14,1,0,0,0,1,427,78,2,0,0
1,48,17,1,0,0,0,0,1,395,92,1,0,4,33,7,0,0,0,0,13,337,81,-2,-1,1
4,22,14,1,0,0,0,12,1,333,90,0,0,3,28,17,1,0,0,0,9,331,97,1,1,0
3,29,10,0,0,0,0,7,1,364,114,0,0,1,29,6,1,0,0,0,5,368,84,0,-1,1
3,34,13,0,1,0,0,10,0,351,94,1,0,4,27,19,2,0,0,0,6,382,93,1,1,1
6,131,16,2,0,0,0,13,0,348,90,0,2,3,36,15,0,0,0,0,9,324,109,0,1,1
2,35,9,0,0,0,0,10,0,295,93,-3,-2,2,28,15,2,0,0,0,3,393,93,0,0,0
2,26,28,0,0,0,0,3,1,356,89,1,2,1,40,5,0,0,0,0,11,312,48,-3,-2,1
5,26,10,0,0,0,0,7,0,298,75,-1,0,3,71,17,2,0,0,0,5,382,85,1,0,0
2,30,15,0,0,0,0,8,1,355,72,-1,1,1,53,27,1,0,0,0,11,331,70,0,2,0
4,32,17,2,1,0,0,9,1,373,98,1,0,2,23,6,0,0,0,0,4,366,106,0,-1,0
6,25,10,0,0,0,0,9,1,360,73,-1,0,4,30,13,1,0,0,0,3,336,77,0,1,0
4,25,10,1,0,0,0,9,1,353,97,-1,-1,3,23,17,1,0,0,0,5,364,94,0,1,1
6,29,20,0,0,0,0,5,1,351,95,1,1,5,30,16,2,0,0,0,7,281,84,-1,0,1
3,58,15,0,1,0,0,1,0,397,84,1,-1,2,80,17,1,0,0,0,8,330,108,0,-1,1
4,28,14,0,0,0,0,8,1,397,82,1,0,1,22,8,2,0,0,0,4,281,124,0,-1,1
0,21,19,0,1,0,0,9,0,382,103,2,0,0,25,5,1,0,0,0,10,364,108,0,-1,1
4,31,10,1,0,0,0,4,0,305,93,0,0,1,20,12,0,0,0,0,4,364,70,0,0,1
3,34,8,0,0,0,0,10,0,320,83,-1,-2,5,22,13,2,1,0,0,6,392,106,1,-1,0
3,30,9,0,0,0,0,9,0,360,86,0,1,3,39,14,2,0,0,0,8,356,77,0,1,1
3,26,11,0,0,0,0,4,1,357,85,0,0,4,25,13,2,0,0,0,8,361,77,0,1,0
4,200,18,1,0,0,0,3,1,330,102,0,2,2,24,11,1,0,0,0,4,336,77,-1,0,0
3,130,8,1,1,0,0,4,1,354,102,-1,-2,2,27,5,1,0,0,0,12,373,146,1,-3,0
5,43,12,1,0,0,0,6,0,376,112,1,0,3,29,9,1,0,0,0,8,319,84,-2,-1,1
5,24,15,1,0,0,0,7,0,327,87,0,1,6,31,19,1,0,0,0,7,316,88,0,1,1
4,132,8,1,0,0,0,13,0,331,85,0,-1,3,19,15,1,0,0,0,4,369,86,1,1,0
7,28,13,0,1,0,0,6,0,372,91,0,-1,4,27,11,2,0,0,0,6,314,98,-2,-1,0
1,27,10,1,0,0,0,6,1,349,103,0,0,4,31,10,0,0,0,0,8,309,84,0,-1,1
2,46,5,1,0,0,0,4,0,338,93,-1,-1,1,23,12,1,0,0,0,8,353,76,-1,0,1
2,39,12,0,0,0,0,4,0,390,83,0,-1,5,24,8,1,0,0,0,4,379,76,0,-2,1
2,23,13,1,0,0,0,6,1,365,98,1,0,1,24,14,1,0,0,0,10,336,97,1,-1,1
3,27,12,0,0,0,0,10,0,291,65,-2,0,7,29,23,2,0,0,0,3,367,90,1,2,0
2,25,13,0,0,0,0,6,1,343,84,0,1,5,50,13,2,0,0,0,2,303,80,-1,1,0
4,34,8,0,0,0,0,6,0,347,96,0,0,4,49,14,2,0,0,0,2,382,82,1,-1,0
2,27,13,1,0,0,0,11,1,343,73,0,1,2,25,19,1,0,0,0,6,338,98,1,1,0
3,26,11,0,0,0,0,6,0,329,94,0,0,6,100,6,2,1,0,0,6,362,80,-1,-1,1
4,25,12,1,0,0,0,7,1,295,79,-1,0,5,46,18,1,0,0,0,5,329,73,-1,1,1
2,26,17,1,0,0,0,6,1,357,100,1,0,4,20,12,0,0,0,0,5,359,84,0,0,0
4,21,5,0,0,0,0,4,1,370,72,0,-1,3,22,5,2,0,0,0,4,401,99,0,-2,1
4,27,6,0,0,0,0,8,1,320,72,-2,-1,8,25,17,2,0,0,0,4,343,116,1,1,0
3,60,12,0,0,0,0,2,0,382,80,0,0,3,29,9,2,0,0,0,10,331,86,-1,0,0
3,24,12,1,0,0,0,9,0,361,107,1,0,3,26,14,1,0,0,0,5,354,100,1,1,1
6,26,7,0,0,0,0,6,0,325,84,-1,-2,4,30,14,2,0,0,0,2,374,104,1,1,0
4,36,12,2,0,0,0,10,0,372,107,1,0,4,26,13,0,0,0,0,2,380,88,1,-1,1
5,27,19,2,0,0,0,10,1,298,88,0,2,4,27,9,0,0,0,0,6,340,92,0,1,1
4,62,24,1,0,0,0,5,0,356,88,1,2,4,61,9,1,0,0,0,9,317,80,-1,-1,1
5,32,19,0,0,0,0,0,1,380,106,1,1,2,134,7,2,0,0,0,11,337,98,-1,0,1
4,30,22,1,0,0,0,5,0,364,108,2,1,0,66,12,1,0,0,0,12,337,84,-1,1,1
3,26,8,0,0,0,0,9,1,384,102,0,-2,5,27,10,2,1,0,0,3,365,90,0,-1,0
4,60,10,0,0,0,0,11,1,332,78,0,0,5,78,16,1,0,0,0,11,338,74,0,1,1
5,46,28,0,0,0,0,4,1,358,92,2,3,5,39,9,1,0,0,0,8,291,76,-2,0,1
5,30,15,2,1,0,0,6,1,340,98,1,1,3,39,5,0,0,0,0,10,355,110,0,-1,1
4,49,7,0,0,0,0,4,1,392,86,0,-1,2,31,7,2,1,0,0,3,392,95,0,-1,1
6,27,14,0,0,0,0,6,0,372,98,1,-1,2,26,11,1,0,0,0,6,402,86,1,-1,1
4,34,12,0,0,0,0,4,1,387,90,0,0,11,104,15,2,0,0,0,3,397,105,1,0,0
3,39,3,0,0,0,0,7,0,348,93,-1,-2,5,200,10,2,0,0,0,1,405,83,0,1,0
2,38,6,0,0,0,0,5,1,415,87,0,-1,3,29,7,2,0,0,0,8,361,99,0,-2,1
2,25,14,0,0,0,0,8,1,336,101,0,1,4,39,13,1,0,0,0,4,323,97,0,0,1
3,25,14,1,0,0,0,7,1,353,82,0,-1,3,26,15,1,0,0,0,9,358,97,0,1,0
3,40,23,2,0,0,0,8,1,265,78,-1,1,2,22,12,0,1,0,0,10,330,82,-1,1,1
3,23,9,0,0,0,0,9,1,375,93,1,-1,2,22,14,2,0,0,0,3,390,94,1,-1,0
5,82,10,0,0,0,0,10,0,382,71,0,-1,3,19,13,2,0,0,0,4,328,96,0,0,0
2,23,7,1,0,0,0,5,1,350,92,-1,-1,8,141,2,0,1,0,0,4,410,84,0,-2,1
2,82,17,1,0,0,0,4,1,332,94,1,1,2,56,10,0,0,0,0,5,354,88,0,0,1
3,21,21,1,1,0,0,8,0,361,100,1,1,2,29,6,1,0,0,0,9,336,58,-2,0,1
6,25,10,1,0,0,0,8,0,379,72,-1,0,2,25,12,0,0,0,0,5,393,96,1,0,0
2,59,2,0,0,0,0,8,0,396,92,0,-2,4,34,12,1,0,0,0,1,420,101,2,0,0
1,32,3,0,0,0,0,8,0,316,88,-3,0,5,51,21,1,1,0,0,8,337,60,0,0,0
6,88,16,0,0,0,0,6,1,318,74,0,1,4,30,10,1,0,0,0,7,362,80,0,-1,0
2,36,18,0,0,0,0,8,1,327,97,0,0,2,79,11,1,0,0,0,5,394,93,0,0,1
11,53,11,1,0,0,0,7,1,398,92,0,1,3,24,12,1,0,0,0,6,368,84,0,0,0
3,32,12,1,1,0,0,4,1,400,108,2,0,4,30,3,1,0,0,0,3,368,86,0,-2,1
3,24,11,1,0,0,0,13,0,364,81,0,0,8,33,10,1,1,0,0,4,408,85,0,0,0
7,27,12,2,0,0,0,6,1,395,82,1,0,4,31,11,0,0,0,0,2,412,101,2,0,1
5,33,7,1,0,0,0,6,0,370,106,0,0,3,27,13,0,0,0,0,2,393,98,1,0,0
4,23,8,2,0,0,0,8,0,386,114,1,-2,9,37,9,0,0,0,0,4,359,106,-1,-2,0
4,24,12,0,0,0,0,9,0,389,96,1,1,4,28,16,2,1,0,0,4,362,85,1,-1,0
2,38,11,1,0,0,0,7,1,399,79,1,0,1,25,7,1,0,0,0,5,371,120,0,-1,1
2,157,14,1,0,0,0,6,0,401,92,0,0,5,25,9,1,0,0,0,6,337,78,-1,-1,1
2,19,17,0,0,0,0,8,0,360,70,0,0,0,27,18,1,0,0,0,5,374,91,1,1,1
3,35,19,2,0,0,0,10,1,399,106,2,1,4,41,8,0,0,0,0,7,352,86,0,-1,1
5,25,12,1,0,0,0,3,0,342,94,-1,0,1,27,12,1,1,0,0,9,335,82,0,0,1
2,25,17,1,0,0,0,10,0,333,86,-1,1,6,35,18,1,0,0,0,9,353,96,2,2,0
5,30,7,0,0,0,0,6,1,332,100,-1,-1,6,30,20,1,1,0,0,1,398,88,1,0,0
1,128,7,0,0,0,0,11,0,341,88,-1,-1,0,74,20,2,0,0,0,5,406,88,2,1,0
8,36,18,1,0,0,0,10,0,364,100,1,1,0,29,12,1,0,0,0,9,334,72,0,0,0
3,28,6,0,0,0,0,8,0,333,111,-1,-1,5,33,14,1,1,0,0,1,378,92,0,0,0
5,29,14,2,0,0,0,3,1,437,98,2,1,5,29,11,0,0,0,0,13,355,84,-1,-1,1
7,65,9,1,0,0,0,4,0,378,75,0,-1,11,71,12,1,0,0,0,3,415,100,1,0,1
6,27,23,2,0,0,0,2,1,347,80,0,1,5,32,17,0,0,0,0,10,297,104,0,1,1
2,23,11,0,0,0,0,5,0,375,85,1,-1,9,36,12,2,0,0,0,4,410,93,1,-1,1
5,47,21,1,0,0,0,6,1,349,93,0,1,3,30,10,0,0,0,0,5,328,94,-1,-1,1
4,30,8,0,0,0,0,6,0,361,77,-2,1,6,33,17,1,0,0,0,2,341,96,1,1,1
2,200,10,2,0,0,0,0,1,436,91,1,0,3,26,5,0,0,0,0,14,352,84,-1,-2,1
1,31,17,1,0,0,0,9,0,299,70,-1,1,2,30,17,0,0,0,0,3,359,87,0,3,0
8,29,2,0,0,0,0,9,0,303,73,-3,-1,5,24,14,1,1,0,0,2,412,82,1,0,0
7,55,12,1,0,0,0,3,0,356,94,-1,0,3,31,11,1,0,0,0,8,335,82,-1,0,0
3,33,18,1,0,0,0,4,1,389,108,2,0,0,128,7,0,0,0,0,4,347,87,0,-1,1
6,36,10,0,0,0,0,10,1,325,88,-2,-2,4,23,9,1,1,0,0,6,341,68,-2,-1,0
2,27,7,0,0,0,0,11,0,340,57,-1,-1,6,25,16,1,0,0,0,2,448,122,2,1,0
3,118,3,0,0,0,0,4,1,381,84,-1,-2,6,30,14,2,0,0,0,5,397,103,2,0,0
4,25,9,0,1,0,0,12,0,340,90,0,0,4,30,19,1,0,0,0,4,378,89,1,1,0
4,37,12,1,0,0,0,5,1,380,107,0,0,1,25,11,0,0,0,0,11,388,92,0,0,0
8,47,10,1,0,0,0,5,1,335,98,-1,-1,2,95,10,0,0,0,0,4,345,86,-1,-1,0
0,29,14,1,0,0,0,10,1,308,111,0,1,1,17,30,0,1,0,0,6,345,100,2,1,0
3,24,13,2,0,0,0,5,1,342,98,0,1,8,32,18,0,0,0,0,13,348,70,0,0,1
2,21,8,0,0,0,0,10,0,342,96,0,-1,2,24,13,2,0,0,0,7,392,92,1,0,0
4,32,8,0,0,0,0,5,1,327,78,-1,0,1,36,5,1,0,0,0,2,368,86,-1,0,0
6,31,16,2,0,0,0,9,1,335,90,0,1,2,38,14,0,0,0,0,3,344,84,0,0,1
3,26,11,1,0,0,0,14,0,358,82,0,0,4,42,16,1,0,0,0,4,375,92,1,1,1
5,26,11,1,0,0,0,6,0,345,53,0,0,4,27,18,0,0,0,0,6,342,123,1,2,0
7,36,10,0,0,0,0,4,0,347,84,-1,0,6,40,16,2,0,0,0,5,369,68,0,0,0
3,21,8,0,0,0,0,11,0,323,84,-1,0,3,25,27,1,0,0,0,5,366,111,3,2,0
2,27,8,1,0,0,0,4,1,387,84,0,0,2,32,12,1,0,0,0,4,379,112,1,1,1
4,28,16,1,0,0,0,8,0,335,87,0,1,4,29,16,0,0,0,0,8,392,80,2,1,0
6,30,13,0,0,0,0,9,0,379,67,1,-1,2,21,21,2,0,0,0,5,390,97,2,1,0
2,27,6,0,0,0,0,7,0,324,72,-2,-2,3,29,14,1,0,0,0,1,391,100,1,0,0
5,22,14,0,1,0,0,11,0,359,74,1,0,5,29,15,1,0,0,0,5,391,82,1,0,0
5,33,7,0,1,0,0,10,0,328,94,0,-1,7,23,15,2,0,0,0,4,396,80,1,0,1
5,28,13,2,0,0,0,8,1,387,103,1,1,6,97,7,0,0,0,0,4,375,84,0,-1,1
5,35,13,1,0,0,0,6,1,403,84,1,1,2,200,11,0,0,0,0,6,361,92,1,0,0
5,27,15,0,0,0,0,4,1,398,99,2,0,2,24,6,0,0,0,0,12,294,68,-2,-1,1
5,56,6,0,0,0,0,7,1,335,76,-1,0,4,48,13,1,0,0,0,2,383,85,1,0,0
4,31,8,0,0,0,0,13,1,347,72,-1,-1,4,26,14,1,0,0,0,4,382,110,1,-1,0
10,36,12,0,0,0,0,5,1,363,100,1,0,4,35,11,1,0,0,0,4,360,88,0,0,1
7,33,12,2,1,0,0,2,1,430,94,1,0,4,154,8,0,0,0,0,9,360,83,0,-1,1
3,30,7,0,0,0,0,9,0,316,84,-1,0,4,31,21,1,1,0,0,2,378,79,1,1,0
2,22,10,1,0,0,0,11,0,323,68,-1,0,3,27,15,1,0,0,0,6,413,98,1,1,0
9,42,6,1,0,0,0,6,0,370,82,-1,-1,4,37,9,1,1,0,0,2,401,122,2,0,0
0,21,4,0,0,0,0,8,0,366,80,-2,-1,5,36,18,2,1,0,0,5,330,91,0,1,0
5,32,14,1,0,0,0,3,1,376,76,0,0,0,41,7,0,0,0,0,10,364,59,-2,0,1
4,62,7,1,0,0,0,8,0,372,102,0,-1,2,64,17,1,1,0,0,9,372,98,1,0,0
4,62,16,0,0,0,0,7,1,349,90,1,1,1,54,8,1,0,0,0,4,382,98,0,-1,1
8,118,18,1,0,0,0,7,1,342,113,1,1,1,57,12,1,0,0,0,7,327,74,-1,0,1
5,35,11,0,1,0,0,5,1,354,89,0,-1,5,43,8,2,0,0,0,7,376,106,0,0,0
6,35,12,0,0,0,0,0,1,322,102,-1,0,6,27,12,2,0,0,0,7,363,64,-1,0,0
4,38,27,1,0,0,0,7,1,371,87,2,2,4,23,16,0,0,0,0,5,328,91,0,0,1
3,29,9,0,1,0,0,7,1,397,86,0,1,2,32,15,1,0,0,0,5,382,78,1,0,1
6,28,16,2,0,0,0,6,1,339,86,1,0,9,33,13,0,0,0,0,7,360,89,0,0,0
1,26,6,0,0,0,0,11,1,356,100,0,-2,3,34,13,2,0,0,0,5,369,104,0,0,0
4,30,15,2,0,0,0,6,1,383,94,1,0,3,23,10,0,0,0,0,6,397,90,0,0,1
5,23,15,1,0,0,0,4,1,388,87,1,0,5,31,4,1,0,0,0,14,334,84,-1,-2,1
5,27,11,2,0,0,0,4,1,345,93,-1,0,6,39,15,0,0,0,0,4,341,64,0,0,0
3,37,20,0,0,0,0,11,0,300,44,-1,0,4,47,14,1,0,0,0,6,296,91,-1,1,1
7,41,7,1,0,0,0,6,0,394,102,0,-1,4,46,14,1,1,0,0,2,415,93,1,0,0
5,31,13,0,0,0,0,6,1,380,80,0,0,2,23,12,2,0,0,0,5,369,103,1,0,1
3,22,6,0,0,0,0,10,0,341,87,-1,-2,5,25,21,2,0,0,0,3,396,86,2,2,0
4,27,9,1,0,0,0,9,1,328,108,0,-2,3,51,7,1,0,0,0,5,387,77,1,-1,0
6,27,15,2,0,0,0,7,0,309,89,-1,0,4,200,9,0,0,0,0,7,313,83,-1,-1,0
8,200,25,2,0,0,0,6,1,363,88,2,2,1,49,13,0,0,0,0,11,312,86,-1,1,1
3,80,14,1,0,0,0,8,0,293,86,-1,1,6,200,14,0,1,0,0,6,342,88,-1,1,1
3,200,7,2,0,0,0,7,0,393,98,1,-1,2,22,8,0,0,0,0,5,394,114,0,-1,1
3,200,18,1,0,0,0,4,1,345,96,0,1,1,23,9,0,0,0,0,12,352,83,0,1,1
4,200,10,2,0,0,0,12,0,362,72,0,1,8,43,13,0,0,0,0,5,343,78,0,0,1
3,187,13,0,0,0,0,10,1,336,99,1,-1,1,21,12,1,0,0,0,3,388,92,0,1,1
5,192,13,1,0,0,0,4,1,368,109,1,0,4,19,6,1,0,0,0,8,352,88,0,0,1
9,200,16,2,0,0,0,6,0,353,74,0,0,4,31,15,0,0,0,0,7,349,92,0,1,1
