blueTeamTotalKills,blueTeamDragonKills,blueTeamHeraldKills,blueTeamTowersDestroyed,blueTeamInhibitorsDestroyed,blueTeamTurretPlatesDestroyed,blueTeamMinionsKilled,blueTeamTotalGold,blueTeamXp,redTeamWardsPlaced,redTeamTotalKills,redTeamDragonKills,redTeamTowersDestroyed,redTeamInhibitorsDestroyed,redTeamMinionsKilled,redTeamJungleMinions,redTeamTotalGold,redTeamXp,redTeamTotalDamageToChamps,blueWin
17,1,0,0,0,4,323,1,2,26,8,0,0,0,340,72,-1,-2,-1,1
10,2,0,0,0,5,330,-1,0,22,12,0,0,0,343,73,0,0,-1,0
11,0,0,0,0,7,355,0,0,20,16,2,0,0,363,85,0,1,0,0
19,1,0,0,0,4,336,1,0,28,15,0,0,0,325,74,0,-1,0,1
18,1,0,0,0,7,360,1,1,26,9,0,0,0,343,75,-1,-1,-1,0
10,1,0,0,0,5,360,-1,0,25,14,1,0,0,387,84,0,1,1,1
11,0,0,0,0,4,387,0,2,34,6,1,0,0,346,76,-1,0,-1,1
14,1,0,0,0,10,301,0,-1,40,18,1,0,0,343,82,1,-1,1,0
11,0,0,0,0,2,387,0,0,26,14,1,0,0,314,74,-1,0,-1,1
18,1,0,0,0,8,356,1,1,20,7,1,0,0,383,91,0,0,0,1
12,2,0,0,0,6,391,1,2,20,10,0,0,0,370,90,0,0,-1,1
14,0,1,0,0,6,338,0,1,30,13,2,0,0,341,113,0,0,0,1
8,2,0,0,0,6,349,-1,0,21,10,0,0,0,380,87,0,1,0,0
9,1,0,0,0,7,320,-1,-1,24,16,0,0,0,356,84,0,0,-1,0
15,1,0,0,0,7,338,0,1,23,11,0,0,0,390,88,0,0,0,0
12,0,0,0,0,11,320,0,-1,29,19,2,0,0,356,96,2,0,0,0
15,0,0,0,0,8,385,1,1,25,16,1,0,0,348,92,0,1,-1,1
11,1,0,0,0,5,392,0,0,33,8,0,0,0,391,80,-1,-1,-1,0
13,0,0,0,0,13,288,-1,-3,29,19,2,0,0,335,88,2,1,1,0
16,0,0,0,0,7,320,1,-1,76,17,2,0,0,331,102,1,0,2,0
16,0,0,0,0,5,324,0,0,62,4,2,0,0,382,113,-1,0,-1,0
16,1,0,0,0,10,363,0,0,24,16,0,0,0,382,74,1,0,0,1
9,1,0,0,0,6,381,0,0,70,10,0,0,0,386,67,0,0,-1,0
19,1,0,0,0,11,331,1,0,31,19,1,0,0,369,90,2,0,1,0
6,0,0,0,0,7,398,-1,0,29,10,2,0,0,405,108,0,1,-1,0
18,1,0,0,0,4,336,1,0,33,17,0,0,0,322,83,0,-1,1,1
16,1,0,0,0,12,366,0,-1,27,16,0,0,0,379,83,1,0,0,0
7,0,0,0,0,8,369,-1,0,22,14,1,0,0,427,78,1,2,0,0
17,1,0,0,0,0,395,1,1,33,7,0,0,0,337,81,-2,-2,-1,1
14,1,0,0,0,12,333,0,0,28,17,1,0,0,331,97,1,1,1,0
10,0,0,0,0,7,364,0,0,29,6,1,0,0,368,84,-1,0,-1,1
13,0,1,0,0,10,351,0,1,27,19,2,0,0,382,93,1,1,1,1
16,2,0,0,0,13,348,1,0,36,15,0,0,0,324,109,1,0,1,1
9,0,0,0,0,10,295,-1,-3,28,15,2,0,0,393,93,1,0,0,0
28,0,0,0,0,3,356,3,1,40,5,0,0,0,312,48,-2,-3,-2,1
10,0,0,0,0,7,298,-1,-1,71,17,2,0,0,382,85,1,1,0,0
15,0,0,0,0,8,355,1,-1,53,27,1,0,0,331,70,2,0,2,0
17,2,1,0,0,9,373,0,1,23,6,0,0,0,366,106,-1,0,-1,0
10,0,0,0,0,9,360,-1,-1,30,13,1,0,0,336,77,0,0,1,0
10,1,0,0,0,9,353,-1,-1,23,17,1,0,0,364,94,1,0,1,1
20,0,0,0,0,5,351,2,1,30,16,2,0,0,281,84,0,-1,0,1
15,0,1,0,0,1,397,1,1,80,17,1,0,0,330,108,0,0,-1,1
14,0,0,0,0,8,397,1,1,22,8,2,0,0,281,124,-1,0,-1,1
19,0,1,0,0,9,382,2,2,25,5,1,0,0,364,108,-1,0,-1,1
10,1,0,0,0,4,305,-1,0,20,12,0,0,0,364,70,0,0,0,1
8,0,0,0,0,10,320,-1,-1,22,13,2,0,0,392,106,1,1,-1,0
9,0,0,0,0,9,360,0,0,39,14,2,0,0,356,77,0,0,1,1
11,0,0,0,0,4,357,0,0,25,13,2,0,0,361,77,0,0,1,0
18,1,0,0,0,3,330,1,0,24,11,1,0,0,336,77,-1,-1,0,0
8,1,1,0,0,4,354,0,-1,27,5,1,0,0,373,146,-1,1,-3,0
12,1,0,0,0,6,376,0,1,29,9,1,0,0,319,84,-1,-2,-1,1
15,1,0,0,0,7,327,1,0,31,19,1,0,0,316,88,1,0,1,1
8,1,0,0,0,13,331,-1,0,19,15,1,0,0,369,86,1,1,1,0
13,0,1,0,0,6,372,0,0,27,11,2,0,0,314,98,-1,-2,-1,0
10,1,0,0,0,6,349,0,0,31,10,0,0,0,309,84,-1,0,-1,1
5,1,0,0,0,4,338,-1,-1,23,12,1,0,0,353,76,-1,-1,0,1
12,0,0,0,0,4,390,1,0,24,8,1,0,0,379,76,-1,0,-2,1
13,1,0,0,0,6,365,1,1,24,14,1,0,0,336,97,0,1,-1,1
12,0,0,0,0,10,291,-1,-2,29,23,2,0,0,367,90,2,1,2,0
13,0,0,0,0,6,343,0,0,50,13,2,0,0,303,80,-1,-1,1,0
8,0,0,0,0,6,347,-1,0,49,14,2,0,0,382,82,0,1,-1,0
13,1,0,0,0,11,343,0,0,25,19,1,0,0,338,98,1,1,1,0
11,0,0,0,0,6,329,0,0,100,6,2,0,0,362,80,-1,-1,-1,1
12,1,0,0,0,7,295,0,-1,46,18,1,0,0,329,73,1,-1,1,1
17,1,0,0,0,6,357,1,1,20,12,0,0,0,359,84,-1,0,0,0
5,0,0,0,0,4,370,-2,0,22,5,2,0,0,401,99,-1,0,-2,1
6,0,0,0,0,8,320,-2,-2,25,17,2,0,0,343,116,1,1,1,0
12,0,0,0,0,2,382,0,0,29,9,2,0,0,331,86,-1,-1,0,0
12,1,0,0,0,9,361,0,1,26,14,1,0,0,354,100,1,1,1,1
7,0,0,0,0,6,325,-1,-1,30,14,2,0,0,374,104,1,1,1,0
12,2,0,0,0,10,372,0,1,26,13,0,0,0,380,88,0,1,-1,1
19,2,0,0,0,10,298,0,0,27,9,0,0,0,340,92,0,0,1,1
24,1,0,0,0,5,356,2,1,61,9,1,0,0,317,80,-1,-1,-1,1
19,0,0,0,0,0,380,2,1,134,7,2,0,0,337,98,-1,-1,0,1
22,1,0,0,0,5,364,3,2,66,12,1,0,0,337,84,0,-1,1,1
8,0,0,0,0,9,384,0,0,27,10,2,0,0,365,90,0,0,-1,0
10,0,0,0,0,11,332,0,0,78,16,1,0,0,338,74,1,0,1,1
28,0,0,0,0,4,358,3,2,39,9,1,0,0,291,76,-1,-2,0,1
15,2,1,0,0,6,340,0,1,39,5,0,0,0,355,110,-1,0,-1,1
7,0,0,0,0,4,392,-1,0,31,7,2,0,0,392,95,-1,0,-1,1
14,0,0,0,0,6,372,0,1,26,11,1,0,0,402,86,0,1,-1,1
12,0,0,0,0,4,387,0,0,104,15,2,0,0,397,105,1,1,0,0
3,0,0,0,0,7,348,-1,-1,200,10,2,0,0,405,83,0,0,1,0
6,0,0,0,0,5,415,0,0,29,7,2,0,0,361,99,-1,0,-2,1
14,0,0,0,0,8,336,0,0,39,13,1,0,0,323,97,0,0,0,1
14,1,0,0,0,7,353,0,0,26,15,1,0,0,358,97,0,0,1,0
23,2,0,0,0,8,265,1,-1,22,12,0,0,0,330,82,0,-1,1,1
9,0,0,0,0,9,375,-1,1,22,14,2,0,0,390,94,0,1,-1,0
10,0,0,0,0,10,382,0,0,19,13,2,0,0,328,96,0,0,0,0
7,1,0,0,0,5,350,-1,-1,141,2,0,0,0,410,84,-2,0,-2,1
17,1,0,0,0,4,332,1,1,56,10,0,0,0,354,88,0,0,0,1
21,1,1,0,0,8,361,2,1,29,6,1,0,0,336,58,-1,-2,0,1
10,1,0,0,0,8,379,0,-1,25,12,0,0,0,393,96,0,1,0,0
2,0,0,0,0,8,396,-2,0,34,12,1,0,0,420,101,1,2,0,0
3,0,0,0,0,8,316,-1,-3,51,21,1,0,0,337,60,1,0,0,0
16,0,0,0,0,6,318,0,0,30,10,1,0,0,362,80,0,0,-1,0
18,0,0,0,0,8,327,1,0,79,11,1,0,0,394,93,0,0,0,1
11,1,0,0,0,7,398,0,0,24,12,1,0,0,368,84,0,0,0,0
12,1,1,0,0,4,400,1,2,30,3,1,0,0,368,86,-2,0,-2,1
11,1,0,0,0,13,364,0,0,33,10,1,0,0,408,85,0,0,0,0
12,2,0,0,0,6,395,0,1,31,11,0,0,0,412,101,0,2,0,1
7,1,0,0,0,6,370,-1,0,27,13,0,0,0,393,98,1,1,0,0
8,2,0,0,0,8,386,0,1,37,9,0,0,0,359,106,0,-1,-2,0
12,0,0,0,0,9,389,0,1,28,16,2,0,0,362,85,1,1,-1,0
11,1,0,0,0,7,399,0,1,25,7,1,0,0,371,120,-1,0,-1,1
14,1,0,0,0,6,401,1,0,25,9,1,0,0,337,78,-1,-1,-1,1
17,0,0,0,0,8,360,1,0,27,18,1,0,0,374,91,1,1,1,1
19,2,0,0,0,10,399,1,2,41,8,0,0,0,352,86,-1,0,-1,1
12,1,0,0,0,3,342,0,-1,27,12,1,0,0,335,82,-1,0,0,1
17,1,0,0,0,10,333,1,-1,35,18,1,0,0,353,96,1,2,2,0
7,0,0,0,0,6,332,-1,-1,30,20,1,0,0,398,88,1,1,0,0
7,0,0,0,0,11,341,-1,-1,74,20,2,0,0,406,88,2,2,1,0
18,1,0,0,0,10,364,1,1,29,12,1,0,0,334,72,0,0,0,0
6,0,0,0,0,8,333,-1,-1,33,14,1,0,0,378,92,0,0,0,0
14,2,0,0,0,3,437,1,2,29,11,0,0,0,355,84,-1,-1,-1,1
9,1,0,0,0,4,378,-1,0,71,12,1,0,0,415,100,0,1,0,1
23,2,0,0,0,2,347,2,0,32,17,0,0,0,297,104,0,0,1,1
11,0,0,0,0,5,375,0,1,36,12,2,0,0,410,93,0,1,-1,1
21,1,0,0,0,6,349,1,0,30,10,0,0,0,328,94,0,-1,-1,1
8,0,0,0,0,6,361,0,-2,33,17,1,0,0,341,96,1,1,1,1
10,2,0,0,0,0,436,1,1,26,5,0,0,0,352,84,-2,-1,-2,1
17,1,0,0,0,9,299,0,-1,30,17,0,0,0,359,87,1,0,3,0
2,0,0,0,0,9,303,-3,-3,24,14,1,0,0,412,82,1,1,0,0
12,1,0,0,0,3,356,0,-1,31,11,1,0,0,335,82,-1,-1,0,0
18,1,0,0,0,4,389,1,2,128,7,0,0,0,347,87,-1,0,-1,1
10,0,0,0,0,10,325,-1,-2,23,9,1,0,0,341,68,-1,-2,-1,0
7,0,0,0,0,11,340,-1,-1,25,16,1,0,0,448,122,2,2,1,0
3,0,0,0,0,4,381,-2,-1,30,14,2,0,0,397,103,1,2,0,0
9,0,1,0,0,12,340,-1,0,30,19,1,0,0,378,89,2,1,1,0
12,1,0,0,0,5,380,1,0,25,11,0,0,0,388,92,0,0,0,0
10,1,0,0,0,5,335,-1,-1,95,10,0,0,0,345,86,-1,-1,-1,0
14,1,0,0,0,10,308,0,0,17,30,0,0,0,345,100,2,2,1,0
13,2,0,0,0,5,342,1,0,32,18,0,0,0,348,70,0,0,0,1
8,0,0,0,0,10,342,0,0,24,13,2,0,0,392,92,1,1,0,0
8,0,0,0,0,5,327,-1,-1,36,5,1,0,0,368,86,-1,-1,0,0
16,2,0,0,0,9,335,0,0,38,14,0,0,0,344,84,0,0,0,1
11,1,0,0,0,14,358,0,0,42,16,1,0,0,375,92,1,1,1,1
11,1,0,0,0,6,345,0,0,27,18,0,0,0,342,123,1,1,2,0
10,0,0,0,0,4,347,0,-1,40,16,2,0,0,369,68,1,0,0,0
8,0,0,0,0,11,323,-1,-1,25,27,1,0,0,366,111,2,3,2,0
8,1,0,0,0,4,387,-1,0,32,12,1,0,0,379,112,0,1,1,1
16,1,0,0,0,8,335,0,0,29,16,0,0,0,392,80,2,2,1,0
13,0,0,0,0,9,379,1,1,21,21,2,0,0,390,97,2,2,1,0
6,0,0,0,0,7,324,-2,-2,29,14,1,0,0,391,100,1,1,0,0
14,0,1,0,0,11,359,0,1,29,15,1,0,0,391,82,1,1,0,0
7,0,1,0,0,10,328,-1,0,23,15,2,0,0,396,80,1,1,0,1
13,2,0,0,0,8,387,0,1,97,7,0,0,0,375,84,-1,0,-1,1
13,1,0,0,0,6,403,1,1,200,11,0,0,0,361,92,0,1,0,0
15,0,0,0,0,4,398,1,2,24,6,0,0,0,294,68,-2,-2,-1,1
6,0,0,0,0,7,335,-2,-1,48,13,1,0,0,383,85,0,1,0,0
8,0,0,0,0,13,347,-1,-1,26,14,1,0,0,382,110,1,1,-1,0
12,0,0,0,0,5,363,0,1,35,11,1,0,0,360,88,-1,0,0,1
12,2,1,0,0,2,430,1,1,154,8,0,0,0,360,83,-1,0,-1,1
7,0,0,0,0,9,316,-2,-1,31,21,1,0,0,378,79,1,1,1,0
10,1,0,0,0,11,323,-1,-1,27,15,1,0,0,413,98,1,1,1,0
6,1,0,0,0,6,370,-1,-1,37,9,1,0,0,401,122,0,2,0,0
4,0,0,0,0,8,366,-1,-2,36,18,2,0,0,330,91,0,0,1,0
14,1,0,0,0,3,376,1,0,41,7,0,0,0,364,59,-1,-2,0,1
7,1,0,0,0,8,372,-1,0,64,17,1,0,0,372,98,1,1,0,0
16,0,0,0,0,7,349,0,1,54,8,1,0,0,382,98,-1,0,-1,1
18,1,0,0,0,7,342,1,1,57,12,1,0,0,327,74,0,-1,0,1
11,0,1,0,0,5,354,-1,0,43,8,2,0,0,376,106,-1,0,0,0
12,0,0,0,0,0,322,0,-1,27,12,2,0,0,363,64,-1,-1,0,0
27,1,0,0,0,7,371,3,2,23,16,0,0,0,328,91,0,0,0,1
9,0,1,0,0,7,397,0,0,32,15,1,0,0,382,78,0,1,0,1
16,2,0,0,0,6,339,1,1,33,13,0,0,0,360,89,1,0,0,0
6,0,0,0,0,11,356,-1,0,34,13,2,0,0,369,104,1,0,0,0
15,2,0,0,0,6,383,1,1,23,10,0,0,0,397,90,0,0,0,1
15,1,0,0,0,4,388,1,1,31,4,1,0,0,334,84,-2,-1,-2,1
11,2,0,0,0,4,345,-1,-1,39,15,0,0,0,341,64,0,0,0,0
20,0,0,0,0,11,300,1,-1,47,14,1,0,0,296,91,0,-1,1,1
7,1,0,0,0,6,394,-1,0,46,14,1,0,0,415,93,0,1,0,0
13,0,0,0,0,6,380,0,0,23,12,2,0,0,369,103,0,1,0,1
6,0,0,0,0,10,341,-1,-1,25,21,2,0,0,396,86,1,2,2,0
9,1,0,0,0,9,328,-1,0,51,7,1,0,0,387,77,-1,1,-1,0
15,2,0,0,0,7,309,0,-1,200,9,0,0,0,313,83,-1,-1,-1,0
25,2,0,0,0,6,363,2,2,49,13,0,0,0,312,86,0,-1,1,1
14,1,0,0,0,8,293,0,-1,200,14,0,0,0,342,88,1,-1,1,1
7,2,0,0,0,7,393,-1,1,22,8,0,0,0,394,114,0,0,-1,1
18,1,0,0,0,4,345,1,0,23,9,0,0,0,352,83,-1,0,1,1
10,2,0,0,0,12,362,-1,0,43,13,0,0,0,343,78,0,0,0,1
13,0,0,0,0,10,336,0,1,21,12,1,0,0,388,92,1,0,1,1
13,1,0,0,0,4,368,0,1,19,6,1,0,0,352,88,-1,0,0,1
16,2,0,0,0,6,353,0,0,31,15,0,0,0,349,92,1,0,1,1
10,0,0,0,0,6,299,-1,-1,32,16,1,0,0,409,104,1,2,0,0
20,1,0,0,0,4,431,3,3,27,7,0,0,0,313,62,-2,-2,-1,1
7,0,0,0,0,8,360,-1,0,28,13,2,0,0,407,87,1,1,1,0
20,2,0,0,0,6,355,1,1,27,9,0,0,0,331,83,-1,-1,0,1
15,0,1,0,0,11,321,0,0,35,16,2,0,0,375,77,1,-1,1,0
13,0,0,0,0,8,301,-1,-2,200,16,2,0,0,354,90,1,0,0,0
17,1,1,0,0,5,376,1,1,40,10,0,0,0,315,72,-1,-2,-1,1
6,0,1,0,0,4,386,-1,0,26,10,2,0,0,354,88,-1,0,0,0
14,0,0,0,0,3,372,0,1,200,9,2,0,0,386,97,-1,0,-1,1
20,1,1,0,0,9,323,1,0,33,15,1,0,0,297,84,0,-1,2,0
14,1,0,0,0,3,352,0,0,25,8,0,0,0,320,68,-1,-2,0,1
12,1,0,0,0,0,342,0,-1,28,14,1,0,0,343,96,0,0,-1,1
15,1,0,0,0,4,392,1,0,24,12,0,0,0,291,100,0,-1,-1,1
13,1,0,0,0,6,334,0,0,21,9,1,0,0,365,88,-1,-1,-1,1
21,2,1,0,0,3,379,2,2,27,8,0,0,0,301,76,-1,-2,-1,1
13,1,0,0,0,5,335,0,1,30,15,1,0,0,355,106,0,1,1,0
25,1,0,0,0,9,394,2,2,57,13,1,0,0,294,63,-1,-2,0,1
17,0,0,0,0,5,338,0,-1,33,14,2,0,0,307,80,0,0,-1,0
21,1,0,0,0,4,383,2,2,41,7,0,0,0,319,92,-1,-1,-1,1
16,1,0,0,0,4,349,1,0,29,11,1,0,0,310,86,-1,-2,-1,1
8,1,1,0,0,10,356,-1,0,26,16,1,0,0,369,82,1,1,1,0
16,2,0,0,0,4,412,1,1,57,11,0,0,0,320,64,-1,-2,-1,1
14,1,0,0,0,7,359,1,0,32,12,1,0,0,380,110,0,0,0,0
20,2,1,0,0,3,387,2,1,29,8,0,0,0,354,100,-1,0,0,1
6,1,0,0,0,12,376,-1,-1,21,10,1,0,0,412,123,1,1,0,0
16,2,1,0,0,6,360,2,1,36,6,0,0,0,337,112,-1,0,-1,1
14,0,0,0,0,9,310,0,-1,36,17,2,0,0,398,88,2,0,1,0
8,0,0,0,0,1,375,0,0,26,14,1,0,0,366,101,1,1,1,0
11,0,0,0,0,2,379,0,0,22,10,1,0,0,354,96,-1,0,-1,1
17,1,0,0,0,5,340,1,0,29,8,0,0,0,320,78,-1,-2,-1,1
9,0,0,0,0,13,394,0,1,24,18,2,0,0,363,85,1,2,0,0
14,2,1,0,0,5,376,1,1,21,11,0,0,0,361,90,0,1,0,1
12,1,0,0,0,10,313,-1,0,24,15,1,0,0,364,78,0,0,0,0
18,1,0,0,0,8,378,1,1,25,15,1,0,0,319,104,0,0,0,1
9,0,0,0,0,0,361,0,1,27,7,1,0,0,385,80,-1,0,-1,1
8,1,1,0,0,7,391,0,0,32,7,1,0,0,383,96,0,0,0,0
12,0,0,0,0,7,338,-1,-1,37,18,2,0,0,348,86,1,0,1,0
12,1,0,0,0,1,352,0,0,99,9,1,0,0,337,88,-1,-1,1,1
3,0,0,0,0,13,310,-3,-3,21,17,1,0,0,381,96,2,0,0,0
14,1,1,0,0,6,343,0,0,101,9,1,0,0,312,68,-1,-1,-1,1
17,1,1,0,0,4,372,1,1,27,14,1,0,0,324,84,0,-2,0,1
26,2,0,0,0,5,362,2,2,31,13,0,0,0,285,78,0,-2,2,1
13,0,1,0,0,6,372,0,1,35,18,2,0,0,339,111,0,1,2,1
21,1,0,0,0,9,370,2,0,27,11,1,0,0,334,84,-1,-2,-1,0
14,0,1,0,0,1,321,1,-1,173,10,2,0,0,323,84,-1,-1,-1,1
18,1,0,0,0,4,330,0,0,33,15,1,0,0,328,76,0,-1,1,1
6,0,0,0,0,7,323,-1,-2,27,19,2,0,0,431,101,2,2,1,0
19,1,0,0,0,5,323,1,-2,73,2,0,0,0,345,68,-2,-2,-2,0
10,0,0,0,0,7,341,0,0,39,14,1,0,0,334,83,0,0,1,0
14,0,0,0,0,8,350,0,0,24,14,2,0,0,396,86,1,1,1,1
13,1,0,0,0,7,334,0,-1,28,15,1,0,0,299,98,0,-1,0,0
13,1,0,0,0,3,381,0,1,40,9,0,0,0,370,80,-1,-1,-2,1
10,2,0,0,0,6,358,0,0,21,6,0,0,0,402,112,-1,0,-2,1
14,1,1,0,0,5,383,1,1,57,13,1,0,0,341,72,0,-1,1,1
24,1,0,0,0,6,398,2,2,28,10,0,0,0,337,81,-1,0,0,1
13,0,0,0,0,8,355,-1,-1,67,9,0,0,0,338,72,-1,-1,0,1
8,1,0,0,0,9,387,-1,0,28,14,0,0,0,410,90,1,1,0,1
14,1,0,0,0,3,420,2,2,41,5,1,0,0,364,60,-2,-1,-2,1
17,1,0,0,0,5,404,1,2,35,3,0,0,0,389,97,-2,-1,-2,1
7,1,0,0,0,6,388,-1,-1,23,9,1,0,0,377,92,0,1,-1,0
15,0,0,0,0,13,361,0,0,27,13,0,0,0,354,86,1,-1,0,0
15,1,1,0,0,8,344,0,1,87,13,1,0,0,333,110,0,0,0,1
8,0,0,0,0,7,363,-1,-1,27,17,1,0,0,381,81,1,1,1,0
14,1,0,0,0,7,324,0,-1,94,19,0,0,0,357,86,1,1,0,0
13,1,0,0,0,5,352,0,0,100,13,0,0,0,367,90,0,0,0,0
12,1,0,0,0,4,367,0,-1,31,8,1,0,0,363,110,-1,0,-1,0
12,0,0,0,0,9,345,-1,-1,30,20,2,0,0,371,76,1,0,1,0
11,0,0,0,0,5,378,0,0,44,10,2,0,0,377,94,-1,-1,-1,1
24,1,0,0,0,6,390,2,2,25,7,1,0,0,353,90,-1,-1,-1,1
10,1,1,0,0,8,370,0,0,200,14,0,0,0,313,86,-1,0,0,1
7,0,0,0,0,10,350,-2,-1,36,17,1,0,0,385,113,1,2,0,0
12,0,0,0,0,4,411,1,1,27,13,2,0,0,367,66,0,1,0,1
2,0,0,0,0,4,388,-2,-1,34,7,2,0,0,404,101,0,1,-1,0
9,0,0,0,0,5,407,0,0,26,18,2,0,0,342,92,0,0,0,0
