blueTeamFirstBlood,blueWin,XpDifference,DamageDifference,KillDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
1,1,1672,3190,5,-2,0,2,0,-229,4,-2,-14,-7
1,0,2174,-2026,5,0,1,-2,0,392,3,-3,26,12
0,1,2772,4811,6,1,0,1,0,3,2,-2,32,15
0,1,-1283,7774,-2,0,0,-2,0,-2,-1,-12,-1,-4
1,1,1362,9615,3,1,0,4,0,31,0,-9,101,-23
1,1,1662,10498,4,0,0,-2,0,9,0,-2,-31,6
1,1,7064,11118,13,2,1,2,0,3,1,-7,78,26
0,0,1020,955,-2,0,0,1,0,-7,0,2,-20,6
1,1,6999,15385,12,0,0,0,0,-31,4,-3,100,42
1,0,-569,3068,3,-2,0,1,0,-2,2,-4,31,0
1,1,5536,10074,14,1,0,1,0,-11,0,-5,64,-11
1,1,2903,2309,5,0,0,-1,0,2,5,-1,39,2
0,0,-2281,-5764,-8,0,1,-2,0,0,1,4,-13,4
0,1,5009,12311,5,2,0,0,0,-27,3,-5,92,32
0,0,-1265,1932,2,0,0,-1,0,6,3,2,-21,-28
1,1,2759,4387,12,2,1,2,0,3,4,-6,33,0
1,0,-3798,-14003,-4,0,-1,-3,0,11,1,7,-36,-15
1,1,2732,7529,10,2,1,3,0,-10,-5,-7,23,-19
0,0,-1784,-9413,-3,-2,0,-2,0,-13,-1,6,-88,-12
0,0,-1953,-6298,-6,-1,0,-1,0,0,-1,-7,9,0
1,1,498,9696,1,-1,0,2,0,13,1,-8,25,-25
1,1,2549,8571,9,1,0,4,0,-2,-2,-3,20,-8
0,0,-1622,1443,-9,-2,0,-1,0,1,-3,8,31,13
0,1,-5,6318,3,2,1,1,0,7,2,-1,15,16
0,0,-1181,-10029,-3,0,0,-2,0,11,0,6,-51,-2
0,1,1400,4243,3,0,0,0,0,2,0,2,59,-25
0,1,1308,8,2,-1,-1,1,0,1,0,-9,-24,24
1,0,-619,-8982,1,0,1,-1,0,-8,-1,0,8,-8
0,0,-2738,-5910,-6,-2,0,-1,0,-10,-5,3,-10,-8
1,1,1825,6470,3,0,0,2,0,-25,2,-10,15,-1
0,0,-6167,-9939,-14,-1,-1,-5,0,161,-6,10,-71,-25
1,1,2427,10612,5,0,1,1,0,-35,2,0,31,35
0,1,4365,4072,3,0,1,1,0,2,2,-4,48,20
0,1,7127,4093,13,2,0,2,0,18,4,-6,77,16
1,1,-287,-11348,-5,-2,1,0,0,-9,-2,3,33,-35
1,0,3415,14755,10,0,0,2,0,-4,-1,-4,36,-12
1,1,35,2560,4,-2,1,2,0,-145,-3,-9,-2,12
1,1,1403,453,3,0,-1,0,0,-1,0,-4,2,10
0,0,-6587,-6375,-13,-2,0,-2,0,-1,-3,6,-108,-25
1,0,1429,7962,17,1,0,0,0,11,-4,-2,-22,32
1,0,-922,4294,-4,-1,0,0,0,-12,-2,3,7,-12
0,1,-1448,-8951,0,-2,0,-2,0,-2,-3,4,-46,-14
0,0,-220,4427,-2,0,-1,0,0,4,-1,2,35,-26
0,1,3952,5886,4,1,0,0,0,-11,1,-1,11,11
1,1,-64,5689,4,2,0,-1,0,1,2,0,-44,-28
0,1,2550,-5824,1,0,1,0,0,-31,-1,-6,42,39
0,1,5139,12439,14,1,0,2,0,1,2,-1,61,10
0,1,-230,-2401,4,0,0,0,0,-39,-1,4,17,-16
1,1,-1559,349,-6,1,0,-2,0,-6,1,5,-23,15
1,1,5268,16852,9,0,0,-1,0,76,4,-10,56,62
1,1,4666,13679,14,1,0,1,0,-13,-1,-2,15,-12
1,0,-3019,-2950,-2,0,0,-1,0,4,1,0,11,-16
0,0,1717,1801,2,0,0,-4,0,-4,-4,9,7,-1
0,1,510,6177,2,0,1,1,0,-63,-1,5,11,-12
0,0,-2964,-12422,-9,-1,0,-1,0,-1,2,3,-18,9
1,0,-3100,-293,-5,1,0,-2,0,-73,0,2,-33,-38
0,0,-556,-132,0,1,0,0,0,-63,7,3,-15,-2
1,0,-1081,399,4,0,-1,0,0,-1,0,-3,4,-28
1,0,-3380,-3123,-8,-2,0,-1,0,-3,-2,6,-26,15
1,1,1005,3233,1,-2,0,1,0,-20,-3,1,1,-5
1,1,5959,11707,17,0,0,2,0,6,2,0,37,0
1,1,803,5099,-4,1,1,1,0,-234,1,4,57,27
0,0,-6055,-1396,-10,-1,0,-3,0,-7,-2,8,-35,-28
1,1,1023,4859,-1,-2,0,0,0,5,0,-5,44,27
0,0,-2685,-9835,-5,-2,-1,-1,0,66,-6,-3,-16,-11
0,0,-230,4687,-9,-2,-1,2,0,-2,-3,-7,65,-9
0,1,1113,2002,2,0,0,0,0,7,-2,2,-2,24
0,0,-3904,-2917,-11,-2,0,-2,0,-2,-2,-2,10,-2
0,0,-3338,-324,-6,-1,0,-1,0,-12,0,7,-27,-13
1,0,-3213,4112,2,-1,0,1,0,2,0,2,-29,-20
1,1,2155,424,6,-2,1,1,0,0,1,-4,-13,12
1,0,-734,-3541,-4,1,0,0,0,44,-3,0,18,-16
0,0,-3243,-3215,-6,-2,0,0,0,-93,1,4,-75,33
1,1,836,605,3,0,0,1,0,-3,-1,0,-10,-22
0,0,-2571,-10716,-11,-2,0,-2,0,1,-2,6,-68,45
1,1,2032,-1153,-1,-2,0,0,0,-3,-3,-5,18,0
1,0,-7139,-12022,-8,-1,0,-2,0,8,1,1,-65,-4
0,0,-3862,-8043,-10,2,0,-3,0,-145,-4,7,-69,8
0,1,2505,-3886,2,2,0,-1,0,3,-1,-1,-23,26
0,0,-6656,-14687,-11,-2,0,-4,0,4,-1,7,-52,-28
1,1,1777,-7446,0,-2,0,0,0,2,2,0,-47,0
1,1,3329,5223,11,-2,-1,1,0,-1,2,-5,-1,-15
0,0,-5602,-16494,-9,-1,-1,-1,0,18,16,5,-52,-19
1,1,-1046,-2327,3,0,0,0,0,-2,3,4,-48,24
0,1,-1224,-1431,0,1,0,0,0,-5,0,0,-68,3
0,1,-1038,5632,-1,-1,0,0,0,5,-5,0,30,-27
0,1,-1034,-7509,-5,-2,0,0,0,-5,3,-3,-17,10
0,1,3394,-2943,4,-2,0,-1,0,-5,-4,-7,67,-13
1,1,267,1139,-9,0,0,1,0,-4,-3,-6,38,27
1,1,-1769,-3957,-2,-1,0,-1,0,-45,1,5,-29,-6
0,0,-161,1418,-3,-2,1,0,0,6,-1,3,-3,3
1,1,-1418,-5007,-3,0,-1,-1,0,14,-1,0,21,-8
1,0,-1516,-13123,-7,-2,0,-1,0,3,0,1,40,-15
0,0,-1219,-1039,-6,0,0,0,0,26,-2,4,-2,-16
0,1,1507,6280,8,1,1,1,0,-8,-1,-2,-7,3
1,1,-469,-2105,1,-1,0,2,0,130,0,-2,-4,-12
1,1,2098,9213,8,1,0,0,0,-5,-2,2,1,28
1,0,-1094,1543,3,0,0,0,0,31,1,-6,-43,-9
1,1,2014,10130,10,2,-1,0,0,-82,1,-4,-1,4
1,0,-1327,-4393,-6,0,0,-1,0,-18,-4,-2,-27,20
1,1,3318,7472,2,-2,0,1,0,28,-1,-4,52,13
0,1,2711,1657,7,0,0,1,0,8,6,1,24,-7
1,0,-1427,-5092,2,0,0,-1,0,-8,1,0,11,-21
0,0,-206,-3020,-1,0,0,-1,0,-8,1,6,17,12
0,1,726,8838,3,0,0,1,0,65,5,-7,21,23
1,0,1950,6871,1,0,0,0,0,-11,-2,-2,28,-14
1,1,3477,6736,11,0,0,0,0,226,0,-4,23,-8
1,1,1532,5782,9,1,0,1,0,-1,0,-6,6,-27
0,0,691,-71,4,2,-1,0,0,15,10,5,-7,-19
0,0,-2062,-12996,-8,-2,0,-1,0,3,1,7,-64,-9
1,1,1083,1849,5,-1,0,0,0,14,0,3,-46,23
1,1,2257,436,1,1,0,-1,0,-3,2,-2,35,-9
0,1,3618,4787,6,2,0,-1,0,-8,1,2,1,35
1,0,489,3823,-5,-2,0,0,0,-160,-4,2,11,-8
0,0,1004,-1655,-8,-2,0,-2,0,-7,-6,4,58,16
0,1,2000,4111,3,-2,0,-1,0,-11,-1,-6,15,-11
0,1,-1327,4336,-1,-1,0,-3,0,8,1,3,-6,17
0,1,4480,10587,10,2,0,3,0,13,4,-2,36,-10
1,0,-2672,509,-3,2,0,0,0,-3,3,-6,-23,-23
1,0,2240,-14285,2,0,0,0,0,-102,-3,7,-29,8
0,0,-60,-3967,-3,-1,0,0,0,-9,0,-5,12,3
1,0,-897,-37,2,-2,-1,0,0,-7,-5,-3,-15,-5
1,1,1433,4071,-2,0,0,-1,0,4,2,2,41,-4
1,0,-2032,-5880,1,0,0,-1,0,2,1,2,-54,16
0,0,-7319,-21672,-14,-2,0,-3,0,34,-2,8,-67,-41
0,0,-2665,-10689,-8,-1,0,-1,0,-26,-2,4,-13,33
0,0,-1249,-197,-9,-1,0,0,0,-167,1,0,31,35
1,1,644,2760,5,0,0,1,0,-4,0,-8,24,-37
1,0,775,572,0,2,0,-2,0,12,7,1,46,12
0,1,645,-4095,0,1,-1,-1,0,-6,1,0,24,-1
0,0,445,-13683,-5,-2,0,0,0,-4,-1,3,34,25
0,0,-1124,-2521,1,0,-1,-3,0,7,1,4,-26,-17
0,1,2063,11173,5,1,0,2,0,-44,-1,-9,25,17
0,1,6499,23078,22,1,1,0,0,30,7,1,45,39
1,0,-3790,-6154,-3,-1,0,-1,0,2,2,5,-21,-33
0,0,-6432,-7338,-12,-2,-1,-2,0,-15,-3,7,-71,-5
0,0,-2536,-11342,-7,0,0,-1,0,4,-2,5,-64,-7
1,1,-1040,-329,-6,0,0,1,0,2,1,-1,-15,46
1,0,-1522,-14463,-9,-2,0,-3,0,-21,-3,6,-33,11
0,1,3261,1273,5,-1,0,0,0,9,0,-5,4,23
1,0,2411,405,4,2,0,-1,0,15,4,-1,32,7
1,0,-3553,-2128,-3,-2,0,-1,0,11,5,-1,-30,-12
