blueTeamFirstBlood,blueWin,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference,WardDifference,ControlWardDifference,TurretPlatesDifference,MinionsDifference,JungleMinionsDifference
1,1,-1,0,-3,0,166,2,7,-52,7
1,1,0,0,0,0,173,1,-4,16,21
0,1,2,0,-1,0,284,5,-1,4,-18
1,0,-1,0,-3,0,134,-3,4,-110,-13
1,1,1,0,1,0,0,-2,-4,118,44
1,0,-2,0,-1,0,240,5,-1,-47,21
1,1,2,0,0,0,196,2,1,24,25
0,0,-2,1,-2,0,231,-1,8,-54,1
0,0,-2,-1,-1,0,-228,0,4,-53,-13
1,1,1,1,1,0,216,6,-8,61,32
0,0,-2,1,1,0,236,-1,-1,32,20
1,1,-2,0,2,0,-229,4,-2,-14,-7
1,0,0,1,-2,0,392,3,-3,26,12
0,1,1,0,1,0,3,2,-2,32,15
0,1,0,0,-2,0,-2,-1,-12,-1,-4
1,1,1,0,4,0,31,0,-9,101,-23
1,1,0,0,-2,0,9,0,-2,-31,6
1,1,2,1,2,0,3,1,-7,78,26
0,0,0,0,1,0,-7,0,2,-20,6
1,1,0,0,0,0,-31,4,-3,100,42
1,0,-2,0,1,0,-2,2,-4,31,0
1,1,1,0,1,0,-11,0,-5,64,-11
1,1,0,0,-1,0,2,5,-1,39,2
0,0,0,1,-2,0,0,1,4,-13,4
0,1,2,0,0,0,-27,3,-5,92,32
0,0,0,0,-1,0,6,3,2,-21,-28
1,1,2,1,2,0,3,4,-6,33,0
1,0,0,-1,-3,0,11,1,7,-36,-15
1,1,2,1,3,0,-10,-5,-7,23,-19
0,0,-2,0,-2,0,-13,-1,6,-88,-12
0,0,-1,0,-1,0,0,-1,-7,9,0
1,1,-1,0,2,0,13,1,-8,25,-25
1,1,1,0,4,0,-2,-2,-3,20,-8
0,0,-2,0,-1,0,1,-3,8,31,13
0,1,2,1,1,0,7,2,-1,15,16
0,0,0,0,-2,0,11,0,6,-51,-2
0,1,0,0,0,0,2,0,2,59,-25
0,1,-1,-1,1,0,1,0,-9,-24,24
1,0,0,1,-1,0,-8,-1,0,8,-8
0,0,-2,0,-1,0,-10,-5,3,-10,-8
1,1,0,0,2,0,-25,2,-10,15,-1
0,0,-1,-1,-5,0,161,-6,10,-71,-25
1,1,0,1,1,0,-35,2,0,31,35
0,1,0,1,1,0,2,2,-4,48,20
0,1,2,0,2,0,18,4,-6,77,16
1,1,-2,1,0,0,-9,-2,3,33,-35
1,0,0,0,2,0,-4,-1,-4,36,-12
1,1,-2,1,2,0,-145,-3,-9,-2,12
1,1,0,-1,0,0,-1,0,-4,2,10
0,0,-2,0,-2,0,-1,-3,6,-108,-25
1,0,1,0,0,0,11,-4,-2,-22,32
1,0,-1,0,0,0,-12,-2,3,7,-12
0,1,-2,0,-2,0,-2,-3,4,-46,-14
0,0,0,-1,0,0,4,-1,2,35,-26
0,1,1,0,0,0,-11,1,-1,11,11
1,1,2,0,-1,0,1,2,0,-44,-28
0,1,0,1,0,0,-31,-1,-6,42,39
0,1,1,0,2,0,1,2,-1,61,10
0,1,0,0,0,0,-39,-1,4,17,-16
1,1,1,0,-2,0,-6,1,5,-23,15
1,1,0,0,-1,0,76,4,-10,56,62
1,1,1,0,1,0,-13,-1,-2,15,-12
1,0,0,0,-1,0,4,1,0,11,-16
0,0,0,0,-4,0,-4,-4,9,7,-1
0,1,0,1,1,0,-63,-1,5,11,-12
0,0,-1,0,-1,0,-1,2,3,-18,9
1,0,1,0,-2,0,-73,0,2,-33,-38
0,0,1,0,0,0,-63,7,3,-15,-2
1,0,0,-1,0,0,-1,0,-3,4,-28
1,0,-2,0,-1,0,-3,-2,6,-26,15
1,1,-2,0,1,0,-20,-3,1,1,-5
1,1,0,0,2,0,6,2,0,37,0
1,1,1,1,1,0,-234,1,4,57,27
0,0,-1,0,-3,0,-7,-2,8,-35,-28
1,1,-2,0,0,0,5,0,-5,44,27
0,0,-2,-1,-1,0,66,-6,-3,-16,-11
0,0,-2,-1,2,0,-2,-3,-7,65,-9
0,1,0,0,0,0,7,-2,2,-2,24
0,0,-2,0,-2,0,-2,-2,-2,10,-2
0,0,-1,0,-1,0,-12,0,7,-27,-13
1,0,-1,0,1,0,2,0,2,-29,-20
1,1,-2,1,1,0,0,1,-4,-13,12
1,0,1,0,0,0,44,-3,0,18,-16
0,0,-2,0,0,0,-93,1,4,-75,33
1,1,0,0,1,0,-3,-1,0,-10,-22
0,0,-2,0,-2,0,1,-2,6,-68,45
1,1,-2,0,0,0,-3,-3,-5,18,0
1,0,-1,0,-2,0,8,1,1,-65,-4
0,0,2,0,-3,0,-145,-4,7,-69,8
0,1,2,0,-1,0,3,-1,-1,-23,26
0,0,-2,0,-4,0,4,-1,7,-52,-28
1,1,-2,0,0,0,2,2,0,-47,0
1,1,-2,-1,1,0,-1,2,-5,-1,-15
0,0,-1,-1,-1,0,18,16,5,-52,-19
1,1,0,0,0,0,-2,3,4,-48,24
0,1,1,0,0,0,-5,0,0,-68,3
0,1,-1,0,0,0,5,-5,0,30,-27
0,1,-2,0,0,0,-5,3,-3,-17,10
0,1,-2,0,-1,0,-5,-4,-7,67,-13
1,1,0,0,1,0,-4,-3,-6,38,27
1,1,-1,0,-1,0,-45,1,5,-29,-6
0,0,-2,1,0,0,6,-1,3,-3,3
1,1,0,-1,-1,0,14,-1,0,21,-8
1,0,-2,0,-1,0,3,0,1,40,-15
0,0,0,0,0,0,26,-2,4,-2,-16
0,1,1,1,1,0,-8,-1,-2,-7,3
1,1,-1,0,2,0,130,0,-2,-4,-12
1,1,1,0,0,0,-5,-2,2,1,28
1,0,0,0,0,0,31,1,-6,-43,-9
1,1,2,-1,0,0,-82,1,-4,-1,4
1,0,0,0,-1,0,-18,-4,-2,-27,20
1,1,-2,0,1,0,28,-1,-4,52,13
0,1,0,0,1,0,8,6,1,24,-7
1,0,0,0,-1,0,-8,1,0,11,-21
0,0,0,0,-1,0,-8,1,6,17,12
0,1,0,0,1,0,65,5,-7,21,23
1,0,0,0,0,0,-11,-2,-2,28,-14
1,1,0,0,0,0,226,0,-4,23,-8
1,1,1,0,1,0,-1,0,-6,6,-27
0,0,2,-1,0,0,15,10,5,-7,-19
0,0,-2,0,-1,0,3,1,7,-64,-9
1,1,-1,0,0,0,14,0,3,-46,23
1,1,1,0,-1,0,-3,2,-2,35,-9
0,1,2,0,-1,0,-8,1,2,1,35
1,0,-2,0,0,0,-160,-4,2,11,-8
0,0,-2,0,-2,0,-7,-6,4,58,16
0,1,-2,0,-1,0,-11,-1,-6,15,-11
0,1,-1,0,-3,0,8,1,3,-6,17
0,1,2,0,3,0,13,4,-2,36,-10
1,0,2,0,0,0,-3,3,-6,-23,-23
1,0,0,0,0,0,-102,-3,7,-29,8
0,0,-1,0,0,0,-9,0,-5,12,3
1,0,-2,-1,0,0,-7,-5,-3,-15,-5
1,1,0,0,-1,0,4,2,2,41,-4
1,0,0,0,-1,0,2,1,2,-54,16
0,0,-2,0,-3,0,34,-2,8,-67,-41
0,0,-1,0,-1,0,-26,-2,4,-13,33
0,0,-1,0,0,0,-167,1,0,31,35
1,1,0,0,1,0,-4,0,-8,24,-37
1,0,2,0,-2,0,12,7,1,46,12
0,1,1,-1,-1,0,-6,1,0,24,-1
0,0,-2,0,0,0,-4,-1,3,34,25
0,0,0,-1,-3,0,7,1,4,-26,-17
0,1,1,0,2,0,-44,-1,-9,25,17
0,1,1,1,0,0,30,7,1,45,39
1,0,-1,0,-1,0,2,2,5,-21,-33
0,0,-2,-1,-2,0,-15,-3,7,-71,-5
0,0,0,0,-1,0,4,-2,5,-64,-7
1,1,0,0,1,0,2,1,-1,-15,46
1,0,-2,0,-3,0,-21,-3,6,-33,11
0,1,-1,0,0,0,9,0,-5,4,23
1,0,2,0,-1,0,15,4,-1,32,7
1,0,-2,0,-1,0,11,5,-1,-30,-12
0,1,1,1,0,0,-133,0,4,44,-31
1,1,0,0,1,0,7,-3,1,2,16
0,0,0,0,-2,0,1,4,6,10,-26
0,0,-1,-1,-5,0,-19,-5,10,-115,-37
0,1,1,-1,-1,0,-119,1,2,10,-16
1,1,-1,1,3,0,-2,-1,-9,33,-29
0,0,0,0,0,0,14,7,6,-67,-25
0,0,-2,0,1,0,5,-3,2,-19,9
0,0,-1,0,-1,0,0,-2,3,0,14
0,0,-1,-1,-3,0,7,5,6,-61,-8
1,0,0,-1,0,0,-8,1,2,-8,-19
0,1,0,1,0,0,12,-4,1,14,-12
0,1,0,0,-1,0,11,-5,1,-4,-33
1,0,-2,1,0,0,-12,0,0,-1,-38
1,1,-1,0,-1,0,-18,6,-11,33,17
0,0,-2,0,0,0,8,4,-9,3,-15
0,0,-2,-1,-1,0,-296,0,5,-28,-24
1,1,2,0,2,0,260,5,-5,100,48
1,0,0,0,0,0,4,-2,-2,-53,0
1,0,-2,-1,-1,0,-22,-7,4,8,-43
0,0,-2,-1,-5,0,-6,-2,6,-112,-2
0,1,-1,0,0,0,-12,-1,-5,-11,8
1,0,-1,0,1,0,0,1,-2,35,-20
0,0,-1,0,0,0,-15,-8,4,-2,12
1,0,2,-1,-1,0,-45,5,6,-35,-7
1,1,1,1,-1,0,6,-1,2,-13,61
0,0,-2,0,0,0,5,2,0,5,-12
1,0,0,0,-2,0,-69,-2,-1,21,-41
1,1,0,0,0,0,-6,0,-1,-4,6
1,0,-1,0,-2,0,-7,0,4,-37,4
0,0,-2,0,0,0,-2,0,-4,-38,-4
1,0,-2,0,0,0,17,-1,1,6,13
1,0,1,0,-3,0,4,-2,5,-11,-22
1,0,-2,0,-4,0,-6,-2,-5,33,12
1,0,0,0,0,0,-10,-2,1,-2,6
0,0,-1,-1,-3,0,4,0,8,-105,-48
0,0,0,0,-1,0,-111,3,-4,-22,8
0,0,-2,-1,-2,0,34,0,3,32,10
1,0,-1,0,-1,0,1,1,-6,43,8
1,0,0,0,0,0,3,2,6,-24,19
1,1,1,0,0,0,6,5,3,13,-6
1,0,0,0,1,0,16,2,1,11,19
1,1,-1,0,0,0,7,2,0,29,45
1,0,0,0,-3,0,5,-1,6,-6,-11
0,0,-1,0,-2,0,28,1,6,-50,-26
0,0,1,0,-2,0,12,3,0,-78,-47
0,0,0,0,-2,0,-60,1,4,-39,16
1,0,-2,0,-1,0,-11,-1,4,6,-2
1,0,0,0,1,0,2,3,-1,14,29
0,0,-1,-1,0,0,-42,-1,2,9,-24
0,1,-2,0,-1,0,6,0,0,8,18
1,1,0,1,0,0,0,1,-2,-56,20
1,1,2,0,0,0,-5,-5,-2,0,32
0,0,-2,1,-1,0,0,2,2,-33,-13
1,1,1,-1,-1,0,-1,0,4,9,-1
0,0,-2,0,1,0,5,6,-4,13,-28
1,1,2,0,0,0,-15,-5,-1,49,14
0,1,-1,1,-1,0,-5,-1,1,24,5
0,0,0,0,0,0,-62,5,2,-28,-21
1,0,-2,0,-3,0,0,-2,6,-43,-8
0,1,-1,0,-1,0,-73,-3,-7,45,-12
1,0,0,0,0,0,-4,2,-4,-40,20
1,0,-2,0,0,0,-10,-6,5,-71,12
1,0,0,0,0,0,-11,2,3,45,-44
1,0,1,0,-1,0,14,4,5,-5,-13
1,1,0,0,2,0,-6,-3,1,54,-15
1,0,-1,-1,-2,0,10,2,2,-71,-12
1,1,0,0,1,0,3,1,1,-49,9
1,1,2,0,-1,0,1,1,0,85,7
0,0,0,1,-1,0,-6,-4,5,-92,20
1,0,-2,0,1,0,37,-4,-2,28,12
1,1,-2,0,2,0,51,-5,-6,55,10
1,1,2,0,3,0,-9,2,-12,133,16
1,1,1,0,0,0,19,-2,-3,105,16
0,0,-2,0,0,0,-4,5,-7,-17,-29
0,0,0,0,-1,0,5,-2,2,-26,-16
0,1,-2,-1,0,0,-1,-2,3,-3,-1
0,1,1,0,0,0,-4,1,-1,28,0
1,1,-2,-1,-4,0,3,-1,7,-51,-3
0,0,-2,-1,-3,0,-3,0,6,1,0
0,0,-2,0,-1,0,-5,-4,0,-14,-16
1,0,1,0,0,0,9,2,0,15,20
1,1,2,1,4,0,-21,-3,-12,87,43
1,1,-2,0,1,0,3,0,-1,40,-33
1,0,1,0,2,0,1,1,-7,31,-2
1,0,-1,0,-1,0,3,-4,-2,-21,16
0,0,-1,0,1,0,3,4,0,21,-16
0,0,-2,0,-1,0,5,-4,7,-21,-9
0,0,0,0,-1,0,9,5,2,-13,16
1,1,2,0,-1,0,3,4,-5,40,-7
1,1,2,0,0,0,0,5,2,-12,18
0,1,0,0,1,0,2,-1,-4,75,-3
0,1,-2,0,0,0,-4,-1,-3,-8,-12
1,1,-2,0,0,0,-6,-8,2,-19,16
1,0,-2,-1,0,0,-4,-3,2,4,11
0,1,-1,0,-2,0,3,-2,6,-37,-24
1,1,0,0,1,0,54,3,-5,82,-8
0,1,-2,1,-1,0,59,2,1,-29,-6
1,1,2,0,1,0,-10,-6,2,40,-11
1,1,-2,0,0,0,1,3,-4,-12,-14
0,1,-2,0,-3,0,14,4,6,-40,0
0,1,2,0,-1,0,-2,-3,7,11,4
0,1,0,1,1,0,7,7,-5,56,41
1,1,1,1,-1,0,3,-4,-1,11,16
1,1,0,0,-1,0,4,3,-6,61,0
0,0,1,0,-3,0,-25,-1,1,8,5
0,0,-2,0,-2,0,-7,-2,4,0,-36
0,0,0,0,-1,0,-5,-3,3,-65,7
1,0,-2,0,-1,0,-6,-4,4,8,16
1,1,0,1,1,0,5,0,1,-18,-14
1,0,-1,0,0,0,-6,1,5,8,-27
1,1,1,0,1,0,-77,0,-1,50,-38
0,1,2,0,1,0,-171,2,3,-33,1
0,1,2,0,-1,0,12,-4,4,6,12
0,0,0,0,-2,0,-209,3,5,-11,-40
1,0,-1,0,1,0,0,4,-5,-10,9
1,0,-1,1,0,0,-30,4,-2,18,8
1,1,2,0,1,0,-2,0,-4,31,-19
1,0,-2,0,1,0,12,4,3,-5,7
1,1,1,0,1,0,38,1,-3,-42,-32
1,1,2,1,0,0,-16,-1,1,-5,-19
0,1,0,0,0,0,-9,-3,-2,55,-22
1,1,2,0,1,0,-9,-3,-10,27,-7
1,0,0,0,0,0,-4,-4,-6,-2,-6
1,1,2,0,-1,0,-12,0,2,46,21
1,1,1,0,1,0,8,2,1,-2,-17
1,1,1,0,0,0,35,4,2,5,23
1,0,0,0,1,0,7,3,-5,17,-2
1,0,0,1,0,0,-1,-3,0,-12,19
1,1,-1,0,1,0,-4,0,2,33,49
0,1,-1,1,1,0,2,2,-4,85,0
1,1,0,0,1,0,8,5,6,63,19
0,0,-1,0,-3,0,-17,-1,5,-91,-21
1,1,-2,1,0,0,9,2,0,4,-16
1,1,-2,0,1,0,21,0,1,80,-13
1,0,-2,0,0,0,3,1,2,-19,-30
0,1,-2,0,-1,0,5,5,2,-54,-27
1,0,-2,0,1,0,4,3,-2,32,17
1,0,-2,0,-1,0,-1,0,4,-2,-8
0,0,-1,1,0,0,-3,-1,3,0,-5
0,1,-2,0,-1,0,-11,2,6,-38,-10
0,0,-2,0,-3,0,-9,-4,6,-93,19
1,0,-1,0,-1,0,-3,0,3,26,-19
0,1,1,1,1,0,-10,-4,-4,17,22
0,1,1,0,1,0,2,0,-6,0,14
